"Txn Date","Value Date","Cheque No.","Description","Branch Code","Debit","Credit","Balance","Page Number","Minus"
"06/04/2026","06 Apr 2026","","NEFT Cr-PUNBY26096326715- PUNB0401500-GOVIND MEDICAL AGENCY--PNB-PNB-PNB","33","","7,760.00","85,514.98","2","1"
"06/04/2026","06 Apr 2026","001345423412","Chq Paid-MICR Inward Clearing-PRANAV PLASTICS-PUNJAB NATIONAL BANK (PNB)-PUNJAB NATIONAL BANK","1745","28,850.00","","56,664.98","3","1"
"06/04/2026","06 Apr 2026","001345423393","Chq Paid-MICR Inward Clearing-ARHAM HEALTH AND HYGIENE-HDFC BANK LTD.-H D F C BANK LTD","1745","29,553.00","","27,111.98","3","1"
"08/04/2026","08 Apr 2026","","IB NEFT Dr CNRBH00123689809 Naresh Kumar KACE0000198 50074210410 Rent","5135","10,000.00","","17,111.98","3","1"
"08/04/2026","08 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","3.00","","17,108.98","3","1"
"08/04/2026","08 Apr 2026","609815305158","MOB-IMPS-CR/AJANTAENTE/ BARODAUTTA/56880200000224/ InvoicePay/9792378000/08/04/2026 15:05:10/609815305158","33","","25,000.00","42,108.98","3","1"
"08/04/2026","08 Apr 2026","609815028955","MOB-IMPS-CR/AJANTAENTE/ BARODAUTTA/56880200000224/ InvoicePay/9792378000/08/04/2026 15:09:46/609815028955","33","","4,335.00","46,443.98","3","1"
"08/04/2026","08 Apr 2026","000000056316","By Clg:DEL ACCTS-UNION BANK OF INDIA (UBI), CLIDE INT","1745","","94,943.00","1,41,386.98","3","1"
"08/04/2026","08 Apr 2026","","IB IFT 51799700 125000642578 BIOGRACEA MEDICARE PRIVATE LIMITED Online Transaction OTH-Paynent","5135","10,000.00","","1,31,386.98","3","1"
"08/04/2026","08 Apr 2026","609818940936","IMPS SC","33","17.70","","1,31,369.28","3","1"
"08/04/2026","08 Apr 2026","609818940936","IB-IMPS-DR//HDFC/**9411//08/04/2026 18:44:10/609818940936","33","1,00,000.00","","31,369.28","3","1"
"09/04/2026","09 Apr 2026","","IB NEFT Dr CNRBH00124107705 Shiva Products PUNB0078600 0786008700006284 Paynent","5135","20,000.00","","11,369.28","4","1"
"09/04/2026","09 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","11,363.28","4","1"
"09/04/2026","09 Apr 2026","609914135513","IB-IMPS-DR//SBIN/**1072//09/04/2026 14:59:21/609914135513","33","9,730.00","","1,633.28","4","1"
"09/04/2026","09 Apr 2026","609914135513","IMPS SC","33","3.54","","1,629.74","4","1"
"09/04/2026","09 Apr 2026","121332450035","UPI/CR/121332450035/SUNIL KUM/ HDCC/**aan-2@okhdfcbank/UPI// HDFf1ea829487db4fcf91cdf77597e0f36f/0 17:42:10","33 9/04/2026","","45,000.00","46,629.74","4","1"
"09/04/2026","09 Apr 2026","609917180020","IB-IMPS-DR//HDFC/**9411//09/04/2026 17:43:39/609917180020","33","45,000.00","","1,629.74","4","1"
"09/04/2026","09 Apr 2026","609917180020","IMPS SC","33","9.44","","1,620.30","4","1"
"09/04/2026","09 Apr 2026","121332663163","UPI/CR/121332663163/SUNIL KUM/ HDCC/**aan-2@okhdfcbank/UPI// HDF84baaadd584244d8895169bf9c9f1a34 17:45:36","33 /09/04/2026","","45,000.00","46,620.30","4","1"
"09/04/2026","09 Apr 2026","609917180889","IB-IMPS-DR//HDFC/**9411//09/04/2026 17:47:15/609917180889","33","45,001.00","","1,619.30","4","1"
"09/04/2026","09 Apr 2026","609917180889","IMPS SC","33","9.44","","1,609.86","4","1"
"09/04/2026","09 Apr 2026","","NEFT Cr-002676078936-UBIN0549011- MEDISHRI HEALTHCARE PVT LTD--/ URGENT/","33","","42,328.00","43,937.86","4","1"
"11/04/2026","11 Apr 2026","","IB IFT 31347700 125000642578 BIOGRACEA MEDICARE PRIVATE LIMITED Online Transaction OTH- Paymebt","5135","30,000.00","","13,937.86","5","1"
"12/04/2026","13 Apr 2026","610220927163","IB-IMPS-DR//UTIB/**4967//12/04/2026 20:26:07/610220927163","33","10,000.00","","3,937.86","5","1"
"12/04/2026","13 Apr 2026","610220927163","IMPS SC","33","5.90","","3,931.96","5","1"
"16/04/2026","16 Apr 2026","001361048441","Funds Transfer Debit 125002348042 - DURGA GAYATHRI AGS","13823","","13,230.00","17,161.96","5","1"
"16/04/2026","16 Apr 2026","","NEFT Cr-CBINH26106274931- CBIN0280395-RELGRO HEALTHCARE PRIVATE LIMITED--//ATTN/Payment-// NEFT//NEFT-//NEFT//NEFT","33","","1,00,000.00","1,17,161.96","5","1"
"16/04/2026","16 Apr 2026","001345423433","NEFT Dr-CNRBH00125793407- SBIN0002450-RUDRAKSH INDUSTRIES-","5135","30,000.00","","87,161.96","5","1"
"16/04/2026","16 Apr 2026","","NEFT SC","5135","6.00","","87,155.96","5","1"
"16/04/2026","16 Apr 2026","","NEFT Cr-PUNBK26106226662- PUNB0376600-PEAK LIFE INNOVATIONS PRIVATE LIMIT--PNB- PNB-PNB","33","","30,869.00","1,18,024.96","5","1"
"17/04/2026","17 Apr 2026","003072436701","Funds Transfer Debit - BIOGRACEA MEDICARE PRIVATE LIMITED","5135","67,000.00","","51,024.96","5","1"
"17/04/2026","17 Apr 2026","121734333893","UPI/CR/121734333893/SONIA GUG/ HDFC/**adaan@okhdfcbank/Sonia mam// HDF82b5353ed0a848c8824c3da2cbc908e 13:28:25","33 7/17/04/2026","","10,000.00","61,024.96","5","1"
"17/04/2026","17 Apr 2026","001345423396","Chq Paid-MICR Inward Clearing-ARHAM HEALTH AND HYGIENE-HDFC BANK LTD.-H D F C BANK LTD","1745","25,221.00","","35,803.96","6","1"
"17/04/2026","17 Apr 2026","001345423357","Chq Paid-MICR Inward Clearing-ARHAM HEALTH AND HYGIENE-HDFC BANK LTD.-H D F C BANK LTD","1745","31,498.00","","4,305.96","6","1"
"18/04/2026","18 Apr 2026","647485213906","UPI/CR/647485213906/SUNIL KUM/RATN/**aan-5@okaxis/UPI// AXI68ca57c2d0284487a44389daa13cb7e1 13:53:08","33 /18/04/2026","","40,000.00","44,305.96","6","1"
"18/04/2026","18 Apr 2026","001345423416","I/W Chq return- Funds Insufficient- for payee -KUMAR GRAPHICS-HDFC BANK LTD.-H D F C BANK LTD","1745","40,000.00","","4,305.96","6","1"
"18/04/2026","18 Apr 2026","001345423416","I/W Chq return- Funds Insufficient- for payee -KUMAR GRAPHICS-HDFC BANK LTD.-H D F C BANK LTD","1745","","40,000.00","44,305.96","6","1"
"18/04/2026","18 Apr 2026","000000152556","By Clg:DEL ACCTS-PUNJAB NATIONAL BANK (PNB), ANKUSH","1745","","2,200.00","46,505.96","6","1"
"18/04/2026","18 Apr 2026","610818370619","IB-IMPS-DR//UTIB/**4967//18/04/2026 18:54:31/610818370619","33","3,000.00","","43,505.96","6","1"
"18/04/2026","18 Apr 2026","610818370619","IMPS SC","33","3.54","","43,502.42","6","1"
"18/04/2026","18 Apr 2026","001345423416","INW CHQ RTN CHG CA OTH THAN INDIVIDUAL","5135","300.00","","43,202.42","6","1"
"20/04/2026","20 Apr 2026","","IB NEFT Dr CNRBH00126479579 Kumar Graphics HDFC0000873 50200000732883 Payment","5135","23,880.00","","19,322.42","6","1"
"20/04/2026","20 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","19,316.42","6","1"
"21/04/2026","21 Apr 2026","611114968685","IMPS SC","33","3.54","","19,312.88","7","1"
"21/04/2026","21 Apr 2026","611114968685","IB-IMPS-DR//UTIB/**4967//21/04/2026 14:23:04/611114968685","33","5,000.00","","14,312.88","7","1"
"21/04/2026","21 Apr 2026","","IB IFT 35522500 125000642578 BIOGRACEA MEDICARE PRIVATE LIMITED Online Transaction OTH- Payment","5135","4,000.00","","10,312.88","7","1"
"22/04/2026","22 Apr 2026","","NEFT Cr-CBINH26112848974- CBIN0283614-M S M S SELAGINELLA LIFE SCIENCES--//ATTN/WELLCRIS-// NEFT//NEFT-//NEFT//NEFT","33","","40,000.00","50,312.88","7","1"
"22/04/2026","22 Apr 2026","","IB NEFT Dr CNRBH00126946637 Sunil kumar UTIB0000093 914010013294967 Sunil","5135","26,000.00","","24,312.88","7","1"
"22/04/2026","22 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","24,306.88","7","1"
"22/04/2026","22 Apr 2026","","RTGS Cr-KKBKR52026042200857106- KKBK0000958-NILSAN PHARMACEUTICALS PRIVATE LIMI-","33","","2,28,728.00","2,53,034.88","7","1"
"23/04/2026","23 Apr 2026","003072436710","Funds Transfer Debit - BIOGRACEA MEDICARE PRIVATE LIMITED","5135","1,00,000.00","","1,53,034.88","7","1"
"23/04/2026","23 Apr 2026","003072436705","NEFT Dr-CNRBH00127186119- UBIN0908339-SHINE POLY PACKS P LTD-","5135","39,768.00","","1,13,266.88","7","1"
"23/04/2026","23 Apr 2026","","NEFT SC","5135","6.00","","1,13,260.88","7","1"
"24/04/2026","24 Apr 2026","003072436709","NEFT Dr-CNRBH00127260105- HDFC0000650-PHARMA ART-","5135","13,355.00","","99,905.88","7","1"
"24/04/2026","24 Apr 2026","","NEFT SC","5135","6.00","","99,899.88","7","1"
"24/04/2026","24 Apr 2026","003072436708","NEFT Dr-CNRBH00127310819- UTIB0000366-S S ENTERPRISES-","5135","10,450.00","","89,449.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT SC","5135","6.00","","89,443.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT Dr-CNRBH00127383478- RAMANPREET-SBIN0011849","5135","9,120.00","","80,323.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT SC","5135","3.00","","80,320.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT Dr-CNRBH00127383481-VIMLA DEVI-SBIN0050992","5135","11,447.00","","68,873.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT SC","5135","6.00","","68,867.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT Dr-CNRBH00127383484-ANJU BALA-SBIN0064026","5135","9,500.00","","59,367.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT SC","5135","3.00","","59,364.88","8","1"
"24/04/2026","24 Apr 2026","","NEFT Cr-HDFCH00954062769- HDFC0000001-DERMAZEN PHARMACEUTICALS--0001-Wellcriss","33","","22,018.00","81,382.88","8","1"
"25/04/2026","25 Apr 2026","","IB NEFT Dr CNRBH00127482196 Shiva Products PUNB0078600 0786008700006284 Payment","5135","25,000.00","","56,382.88","8","1"
"25/04/2026","25 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","56,376.88","8","1"
"25/04/2026","25 Apr 2026","611514897502","IMPS SC","33","5.90","","56,370.98","8","1"
"25/04/2026","25 Apr 2026","611514897502","IB-IMPS-DR//UTIB/**4967//25/04/2026 14:21:28/611514897502","33","10,000.00","","46,370.98","8","1"
"27/04/2026","27 Apr 2026","","IB NEFT Dr CNRBH00127592882 Balasundari Industries UBIN0554901 549005110000107 Payment","5135","20,000.00","","26,370.98","8","1"
"27/04/2026","27 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","26,364.98","8","1"
"27/04/2026","27 Apr 2026","","NEFT RETURN-CLOSED ACCOUNT NUMBER-Balasundari Industries- CNRBH00127592882-Payment-Payment","33","","20,000.00","46,364.98","9","1"
"27/04/2026","27 Apr 2026","","IB NEFT Dr CNRBH00127607620 Adarsh Publications PUNB0785100 7851002100000105 Paymnet","5135","10,000.00","","36,364.98","9","1"
"27/04/2026","27 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","3.00","","36,361.98","9","1"
"27/04/2026","27 Apr 2026","","IB NEFT Dr CNRBH00127706109 GSK BIOCHEMICALS CSBK0000621 062104478981195001 Payment","5135","26,500.00","","9,861.98","9","1"
"27/04/2026","27 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","9,855.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT Cr-CMS1182696752407- KKBK0000958-BELIEVE INTERNATIONAL LTD --Payment// CMS1182696752407-BELIEVE-N","33","","69,368.00","79,223.98","9","1"
"28/04/2026","28 Apr 2026","001345423449","Chq Paid-MICR Inward Clearing-USHA POLY CRAFTS PVT L-HDFC BANK LTD.- H D F C BANK LTD","1745","23,720.00","","55,503.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT Cr-PUNBO26118525654- PUNB0046410-REKIN PHARMA PRIVATE LIMITED--PNB-PNB-PNB","33","","45,621.00","1,01,124.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT Dr-CNRBH00127940109-NAJIYA- UCBA0002230","5135","8,560.00","","92,564.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT SC","5135","3.00","","92,561.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT Dr-CNRBH00127940110-SUMAN- PUNB0266000","5135","8,320.00","","84,241.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT SC","5135","3.00","","84,238.98","9","1"
"28/04/2026","28 Apr 2026","","NEFT Dr-CNRBH00127940113- KULWINDER KAUR-UJVN0002293","5135","8,480.00","","75,758.98","10","1"
"28/04/2026","28 Apr 2026","","NEFT SC","5135","3.00","","75,755.98","10","1"
"28/04/2026","28 Apr 2026","","NEFT Dr-CNRBH00127940115-KAJAL RANI-SBIN0008579","5135","9,194.00","","66,561.98","10","1"
"28/04/2026","28 Apr 2026","","NEFT SC","5135","3.00","","66,558.98","10","1"
"28/04/2026","28 Apr 2026","","NEFT Dr-CNRBH00127940118-SAMINA BEGAM-UCBA0001409-ujguigjhfg","5135","8,000.00","","58,558.98","10","1"
"28/04/2026","28 Apr 2026","","NEFT SC","5135","3.00","","58,555.98","10","1"
"28/04/2026","28 Apr 2026","611819642945","IB-IMPS-DR//UTIB/**4967//28/04/2026 19:01:42/611819642945","33","10,000.00","","48,555.98","10","1"
"28/04/2026","28 Apr 2026","611819642945","IMPS SC","33","5.90","","48,550.08","10","1"
"29/04/2026","29 Apr 2026","611913795431","IMPS SC","33","3.54","","48,546.54","10","1"
"29/04/2026","29 Apr 2026","611913795431","IB-IMPS-DR//UTIB/**4967//29/04/2026 13:04:09/611913795431","33","2,000.00","","46,546.54","10","1"
"29/04/2026","29 Apr 2026","","NEFT Cr-HDFCH00960709343- HDFC0000001-BIOSHINE HEALTHCARE PRIVATE LIMITED--0001-BIOSHINE VANCLOB","33","","36,305.00","82,851.54","10","1"
"29/04/2026","29 Apr 2026","003072436704","Funds Transfer Debit - BIOGRACEA MEDICARE PRIVATE LIMITED","5135","60,000.00","","22,851.54","10","1"
"29/04/2026","29 Apr 2026","812140510242","UPI/CR/812140510242/SHOBA R/HDCC/**527-2@ybl/Payment // YBLce6347174d3e4f4daf1444d8b6e511ce 16:15:45","33 /29/04/2026","","40,000.00","62,851.54","10","1"
"29/04/2026","29 Apr 2026","611919903968","IMPS SC","33","5.90","","62,845.64","10","1"
"29/04/2026","29 Apr 2026","611919903968","IB-IMPS-DR//UTIB/**4967//29/04/2026 19:38:08/611919903968","33","15,000.00","","47,845.64","11","1"
"29/04/2026","29 Apr 2026","611998472307","UPI/CR/611998472307/SUNIL KUM/UTIB/**aan-3@okaxis/UPI// AXI4ae871f46ccf4478a82e2466e646b0df/2 19:40:23","33 9/04/2026","","12,000.00","59,845.64","11","1"
"29/04/2026","29 Apr 2026","611919905388","IB-IMPS-DR//UTIB/**4967//29/04/2026 19:43:14/611919905388","33","28,000.00","","31,845.64","11","1"
"29/04/2026","29 Apr 2026","611919905388","IMPS SC","33","9.44","","31,836.20","11","1"
"29/04/2026","29 Apr 2026","648562559894","UPI/CR/648562559894/DINESH ME/ CNRB/**mandi@okicici/wellcris// ICI03702cda80cb4f558869b0bcc565ec37/2 20:35:59","33 9/04/2026","","47,668.00","79,504.20","11","1"
"30/04/2026","30 Apr 2026","612007969227","IMPS SC","33","5.90","","79,498.30","11","1"
"30/04/2026","30 Apr 2026","612007969227","IB-IMPS-DR//KACE/**0410//30/04/2026 07:27:22/612007969227","33","10,000.00","","69,498.30","11","1"
"30/04/2026","30 Apr 2026","","IB NEFT Dr CNRBH00128314807 JJB Industry UCBA0002230 22300510006207 Payment","5135","20,000.00","","49,498.30","11","1"
"30/04/2026","30 Apr 2026","","SC NEFT OTHER THAN SB IMB","5135","6.00","","49,492.30","11","1"
"30/04/2026","30 Apr 2026","003072436702","NEFT Dr-CNRBH00128483115- CBIN0283614-BALA SUNDRI INDUSTRIES-","5135","20,000.00","","29,492.30","11","1"
"30/04/2026","30 Apr 2026","","NEFT SC","5135","6.00","","29,486.30","11","1"
"30/04/2026","30 Apr 2026","122383034805","UPI/CR/122383034805/SONIA GUG/ HDFC/**adaan@okhdfcbank/UPI// HDF627374b267394e57aef2749feb174aba 16:49:54","33 /30/04/2026","","20,000.00","49,486.30","12","1"
