"Sl No","Txn Date","Description","Cheque No","Withdrawal (in Rs.)","Deposits (in Rs.)","Balance (in Rs.)","Page Number","Minus"
"77","09/04/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","13,239.00","","1,75,080.02","2","1"
"78","09/04/2026","IBNEFT/SBIN/R S PHARMA","","17,273.00","","1,57,807.02","2","1"
"79","09/04/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","23,623.00","","1,34,184.02","3","1"
"80","09/04/2026","IBNEFT/IOBA/DURGAPHARMACEUTICALS","","12,130.00","","1,22,054.02","3","1"
"81","09/04/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","9,866.00","","1,12,188.02","3","1"
"82","09/04/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","17,507.00","","94,681.02","3","1"
"83","09/04/2026","IBNEFT/CNRB/REGEN PHARMA","","5,728.00","","88,953.02","3","1"
"84","09/04/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","10,331.00","","78,622.02","3","1"
"85","09/04/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","13,895.00","","64,727.02","3","1"
"86","09/04/2026","IBNEFT/PUNB/KAUL AGENCIES","","13,034.00","","51,693.02","3","1"
"87","09/04/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","7,208.00","","44,485.02","3","1"
"88","09/04/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","3,632.00","","40,853.02","3","1"
"89","09/04/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","14,173.00","","26,680.02","3","1"
"90","10/04/2026","NEFT/YESAP61000709444/YESB/PAYTMPAYMENTS SERVICES","","","640.00","27,320.02","3","1"
"91","10/04/2026","NEFT/YESAP61005577077/YESB/PhonePeLimited","","","60,329.32","87,649.34","3","1"
"92","10/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 10-04-2026","","","35,821.54","1,23,470.88","3","1"
"93","10/04/2026","BY CASH-6201-ANIL","","","40,000.00","1,63,470.88","3","1"
"94","10/04/2026","MAHALUXMI SURGICAL","400775","9,414.00","","1,54,056.88","3","1"
"95","11/04/2026","NEFT/YESAP61015269783/YESB/PhonePeLimited","","","82,413.89","2,36,470.77","3","1"
"96","11/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 11-04-2026","","","1,710.68","2,38,181.45","3","1"
"97","12/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 12-04-2026","","","414.37","2,38,595.82","3","1"
"98","12/04/2026","NEFT/YESAP61025384267/YESB/PhonePeLimited","","","70,547.11","3,09,142.93","3","1"
"99","13/04/2026","NEFT/YESAP61035217804/YESB/PhonePeLimited","","","44,339.55","3,53,482.48","3","1"
"100","13/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 13-04-2026","","","6,726.27","3,60,208.75","3","1"
"101","13/04/2026","SHREE MAHAVIR ENTERP","400776","8,349.00","","3,51,859.75","3","1"
"102","13/04/2026","JOSHI PHARMA","400779","5,748.00","","3,46,111.75","3","1"
"103","13/04/2026","NEFT/DEUTH00610360638/DEUT/MONDELEZINDIA FOODS PR","","","684.50","3,46,796.25","3","1"
"104","14/04/2026","NEFT/YESAP61045516751/YESB/PhonePeLimited","","","63,006.30","4,09,802.55","3","1"
"105","14/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 14-04-2026","","","10,756.40","4,20,558.95","3","1"
"106","14/04/2026","IBNEFT/PUNB/ASHOK KUMAR GUPTA","","14,000.00","","4,06,558.95","3","1"
"107","14/04/2026","IBNEFT/BARB/SHRI KRISHNAPHARMACY","","11,929.00","","3,94,629.95","3","1"
"108","14/04/2026","KRISHNA AND COMPANY","400777","7,047.00","","3,87,582.95","3","1"
"109","14/04/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","23,901.00","","3,63,681.95","3","1"
"110","14/04/2026","IBNEFT/IDIB/MEDIWAYS","","16,829.00","","3,46,852.95","3","1"
"111","14/04/2026","IBNEFT/PUNB/BLISS COTTON","","7,978.00","","3,38,874.95","3","1"
"112","14/04/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","16,029.00","","3,22,845.95","3","1"
"113","14/04/2026","IBNEFT/CBIN/JOHAR BROTHERS","","22,753.00","","3,00,092.95","3","1"
"114","14/04/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","9,431.00","","2,90,661.95","3","1"
"115","14/04/2026","IBNEFT/KKBK/SHIVA REMEDIES","","10,760.00","","2,79,901.95","3","1"
"116","14/04/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","4,344.00","","2,75,557.95","3","1"
"117","14/04/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","12,840.00","","2,62,717.95","4","1"
"118","14/04/2026","IBNEFT/SBIN/R S PHARMA","","12,207.00","","2,50,510.95","4","1"
"119","14/04/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","29,266.00","","2,21,244.95","4","1"
"120","14/04/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","15,137.00","","2,06,107.95","4","1"
"121","14/04/2026","IBNEFT/PUNB/R P ASSOCIATES","","10,284.00","","1,95,823.95","4","1"
"122","14/04/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","15,820.00","","1,80,003.95","4","1"
"123","14/04/2026","IBNEFT/HDFC/CITY ENTERPRISES","","14,218.00","","1,65,785.95","4","1"
"124","14/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","10.00","","1,65,775.95","4","1"
"125","15/04/2026","NEFT/YESAP61055192736/YESB/PhonePeLimited","","","48,756.97","2,14,532.92","4","1"
"126","15/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 15-04-2026","","","9,194.28","2,23,727.20","4","1"
"127","15/04/2026","BY CASH-6201-ANIL","","","40,000.00","2,63,727.20","4","1"
"128","15/04/2026","JOHAR ENTERPRISES","400780","9,595.00","","2,54,132.20","4","1"
"129","16/04/2026","NEFT/YESAP61065334450/YESB/PhonePeLimited","","","54,193.35","3,08,325.55","4","1"
"130","16/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 16-04-2026","","","6,697.32","3,15,022.87","4","1"
"131","16/04/2026","MILLENNIUM MEDISOLUT","400778","8,571.00","","3,06,451.87","4","1"
"132","16/04/2026","IBNEFT/SBIN/RAMESH AGENCIES","","8,469.00","","2,97,982.87","4","1"
"133","17/04/2026","NEFT/YESAP61075306160/YESB/PhonePeLimited","","","41,205.79","3,39,188.66","4","1"
"134","17/04/2026","ACCOUNT MAINTENANCE CHARGES","","162.26","","3,39,026.40","4","1"
"135","17/04/2026","BY CASH-6201-ANIL","","","45,000.00","3,84,026.40","4","1"
"136","17/04/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","21,044.00","","3,62,982.40","4","1"
"137","17/04/2026","IBNEFT/IOBA/VAISHNAVIENTERPRISES","","4,903.00","","3,58,079.40","4","1"
"138","17/04/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","24,039.00","","3,34,040.40","4","1"
"139","17/04/2026","IBNEFT/CNRB/REGEN PHARMA","","9,139.00","","3,24,901.40","4","1"
"140","17/04/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","26,467.00","","2,98,434.40","4","1"
"141","17/04/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","20,402.00","","2,78,032.40","4","1"
"142","17/04/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","13,023.00","","2,65,009.40","4","1"
"143","17/04/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","17,152.00","","2,47,857.40","4","1"
"144","17/04/2026","IBNEFT/KVBL/KRISHANA AND COMPANY","","6,532.00","","2,41,325.40","4","1"
"145","17/04/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","9,202.00","","2,32,123.40","4","1"
"146","17/04/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","15,818.00","","2,16,305.40","4","1"
"147","17/04/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","26,602.00","","1,89,703.40","4","1"
"148","17/04/2026","IBNEFT/IOBA/DURGAPHARMACEUTICALS","","2,505.00","","1,87,198.40","4","1"
"149","17/04/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","16,254.00","","1,70,944.40","4","1"
"150","17/04/2026","IBNEFT/HDFC/ENKAY AGENCIES","","6,876.00","","1,64,068.40","4","1"
"151","17/04/2026","IBNEFT/PUNB/KAUL AGENCIES","","12,567.00","","1,51,501.40","4","1"
"152","17/04/2026","IBNEFT/ICIC/GUPTA MEDICAREPHARMACEUTICALS","","31,074.00","","1,20,427.40","4","1"
"153","17/04/2026","IBNEFT/IOBA/JAGAT SINGH AND SONSAGENCIES","","19,203.00","","1,01,224.40","4","1"
"154","17/04/2026","IBNEFT/SCBL/HOLLY DRUGS PVT LTD","","22,202.00","","79,022.40","4","1"
"155","17/04/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","11,866.00","","67,156.40","4","1"
"156","17/04/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","8,957.00","","58,199.40","5","1"
"157","18/04/2026","NEFT/YESAP61085257202/YESB/PhonePeLimited","","","41,598.21","99,797.61","5","1"
"158","18/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 18-04-2026","","","10,114.85","1,09,912.46","5","1"
"159","18/04/2026","BY CASH-6201-ANIL","","","40,000.00","1,49,912.46","5","1"
"160","19/04/2026","NEFT/YESAP61092786116/YESB/PhonePeLimited","","","50,019.67","1,99,932.13","5","1"
"161","20/04/2026","NEFT/YESAP61105152972/YESB/PhonePeLimited","","","42,389.87","2,42,322.00","5","1"
"162","20/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 20-04-2026","","","7,294.60","2,49,616.60","5","1"
"163","20/04/2026","BY CASH-6201-ANIL","","","31,300.00","2,80,916.60","5","1"
"164","20/04/2026","KRISHNA AGENCIES","400781","7,250.00","","2,73,666.60","5","1"
"165","21/04/2026","NEFT/YESAP61115179963/YESB/PhonePeLimited","","","65,517.88","3,39,184.48","5","1"
"166","21/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 21-04-2026","","","2,670.66","3,41,855.14","5","1"
"167","21/04/2026","MEDICOS HEALTHCARE U","400782","9,641.00","","3,32,214.14","5","1"
"168","22/04/2026","620127110000062:Int.Coll:22-03-2026to 21-04-2026","","37.00","","3,32,177.14","5","1"
"169","22/04/2026","NEFT/YESAP61125163621/YESB/PhonePeLimited","","","55,260.40","3,87,437.54","5","1"
"170","22/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 22-04-2026","","","10,743.82","3,98,181.36","5","1"
"171","22/04/2026","IBNEFT/SBIN/RAMESH AGENCIES","","13,402.00","","3,84,779.36","5","1"
"172","22/04/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","32,728.00","","3,52,051.36","5","1"
"173","22/04/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","10,079.00","","3,41,972.36","5","1"
"174","22/04/2026","IBNEFT/CNRB/KISHORE BROTHERS","","4,115.00","","3,37,857.36","5","1"
"175","22/04/2026","IBNEFT/HDFC/CITY ENTERPRISES","","11,045.00","","3,26,812.36","5","1"
"176","22/04/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","15,097.00","","3,11,715.36","5","1"
"177","22/04/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","14,056.00","","2,97,659.36","5","1"
"178","22/04/2026","IBNEFT/PUNB/R P ASSOCIATES","","9,266.00","","2,88,393.36","5","1"
"179","22/04/2026","IBNEFT/CBIN/JOHAR BROTHERS","","20,092.00","","2,68,301.36","5","1"
"180","22/04/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","9,279.00","","2,59,022.36","5","1"
"181","22/04/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","10,453.00","","2,48,569.36","5","1"
"182","22/04/2026","IBNEFT/SBIN/R S PHARMA","","12,425.00","","2,36,144.36","5","1"
"183","22/04/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","5,740.00","","2,30,404.36","5","1"
"184","22/04/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","23,741.00","","2,06,663.36","5","1"
"185","22/04/2026","IBNEFT/IDIB/MEDIWAYS","","24,381.00","","1,82,282.36","5","1"
"186","22/04/2026","IBNEFT/IOBA/VAISHNAVIENTERPRISES","","5,957.00","","1,76,325.36","5","1"
"187","22/04/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","20,347.00","","1,55,978.36","5","1"
"188","22/04/2026","IBNEFT/CNRB/REGEN PHARMA","","4,201.00","","1,51,777.36","5","1"
"189","22/04/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","6,355.00","","1,45,422.36","5","1"
"190","23/04/2026","NEFT/YESAP61135297848/YESB/PhonePeLimited","","","61,843.22","2,07,265.58","5","1"
"191","23/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 23-04-2026","","","4,528.71","2,11,794.29","5","1"
"192","23/04/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","11,716.00","","2,00,078.29","5","1"
"193","23/04/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","7,320.00","","1,92,758.29","5","1"
"194","23/04/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","23,565.00","","1,69,193.29","6","1"
"195","23/04/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","4,133.00","","1,65,060.29","6","1"
"196","23/04/2026","IBNEFT/PUNB/KAUL AGENCIES","","9,270.00","","1,55,790.29","6","1"
"197","23/04/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","11,491.00","","1,44,299.29","6","1"
"198","23/04/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","14,593.00","","1,29,706.29","6","1"
"199","23/04/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","16,835.00","","1,12,871.29","6","1"
"200","23/04/2026","IBNEFT/HDFC/ENKAY AGENCIES","","9,826.00","","1,03,045.29","6","1"
"201","23/04/2026","IBNEFT/HDFC/ENKAY AGENCIES","","8,056.00","","94,989.29","6","1"
"202","23/04/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","12,277.00","","82,712.29","6","1"
"203","23/04/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","19,578.00","","63,134.29","6","1"
"204","23/04/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","21,972.00","","41,162.29","6","1"
"205","23/04/2026","IBNEFT/BARB/SHRI KRISHNAPHARMACY","","16,305.00","","24,857.29","6","1"
"206","24/04/2026","NEFT/YESAP61145136085/YESB/PhonePeLimited","","","48,146.43","73,003.72","6","1"
"207","24/04/2026","BY CASH-6201-ANIL","","","40,000.00","1,13,003.72","6","1"
"208","25/04/2026","NEFT/YESAP61155200341/YESB/PhonePeLimited","","","57,861.81","1,70,865.53","6","1"
"209","25/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 25-04-2026","","","6,121.63","1,76,987.16","6","1"
"210","25/04/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","19,743.00","","1,57,244.16","6","1"
"211","25/04/2026","IBNEFT/CNRB/MITTAL ENTERPRISES","","15,746.00","","1,41,498.16","6","1"
"212","25/04/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","13,847.00","","1,27,651.16","6","1"
"213","25/04/2026","IBNEFT/HDFC/CITY ENTERPRISES","","11,799.00","","1,15,852.16","6","1"
"214","25/04/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","11,955.00","","1,03,897.16","6","1"
"215","25/04/2026","IBNEFT/CNRB/KISHORE BROTHERS","","6,536.00","","97,361.16","6","1"
"216","25/04/2026","IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD","","14,672.00","","82,689.16","6","1"
"217","25/04/2026","IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD","","23,539.00","","59,150.16","6","1"
"218","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","5,064.00","","54,086.16","6","1"
"219","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","1,417.00","","52,669.16","6","1"
"220","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","2,968.00","","49,701.16","6","1"
"221","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","4,372.00","","45,329.16","6","1"
"222","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","11,164.00","","34,165.16","6","1"
"223","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","14,085.00","","20,080.16","6","1"
"224","25/04/2026","IBNEFT/ICIC/U R ENTERPRISES","","3,602.00","","16,478.16","6","1"
"225","25/04/2026","UPI/611531101336/CR/SIMMI/IBKL/985511410/Mercha","","","100.00","16,578.16","6","1"
"226","26/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 26-04-2026","","","12,916.07","29,494.23","6","1"
"227","26/04/2026","NEFT/YESAP61164959254/YESB/PhonePeLimited","","","67,452.31","96,946.54","6","1"
"228","26/04/2026","StUBP-203678688/ELECTRICITY BILL","","3,050.00","","93,896.54","6","1"
"229","26/04/2026","StUBP-203678702/ELECTRICITY BILL","","636.00","","93,260.54","6","1"
"230","26/04/2026","StUBP-203678729/ELECTRICITY BILL","","1,235.00","","92,025.54","6","1"
"231","26/04/2026","StUBP-203678782/WATER BILL","","1,938.00","","90,087.54","6","1"
"232","27/04/2026","NEFT/YESAP61174695512/YESB/PhonePeLimited","","","50,030.12","1,40,117.66","6","1"
"233","27/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 27-04-2026","","","5,106.04","1,45,223.70","7","1"
"234","27/04/2026","BY CASH-6201- ANIL","","","45,000.00","1,90,223.70","7","1"
"235","27/04/2026","Medisurge","400784","1,965.00","","1,88,258.70","7","1"
"236","27/04/2026","JOSHI PHARMA","400785","6,231.00","","1,82,027.70","7","1"
"237","27/04/2026","Guru Nanak Medicos P","400794","16,087.00","","1,65,940.70","7","1"
"238","27/04/2026","KRISHNA AGENCIES","400789","7,448.00","","1,58,492.70","7","1"
"239","27/04/2026","CHUNI LAL MOHAN LAL","400786","7,295.00","","1,51,197.70","7","1"
"240","28/04/2026","NEFT/AXNPN11823603753/UTIB/PHONEPELIMITED-PAYMENT","","","54,391.68","2,05,589.38","7","1"
"241","28/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 28-04-2026","","","7,218.28","2,12,807.66","7","1"
"242","28/04/2026","KANWAL AGENCIES","400788","13,321.00","","1,99,486.66","7","1"
"243","28/04/2026","GURUKRIPA PHARMACEUT","400793","14,576.00","","1,84,910.66","7","1"
"244","28/04/2026","KANWAL AGENCIES","400791","7,786.00","","1,77,124.66","7","1"
"245","28/04/2026","JOHAR ENTERPRISES","400787","13,594.00","","1,63,530.66","7","1"
"246","29/04/2026","NEFT/AXNPN11931912913/UTIB/PHONEPELIMITED-PAYMENT","","","58,600.32","2,22,130.98","7","1"
"247","29/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 29-04-2026","","","1,645.75","2,23,776.73","7","1"
"248","29/04/2026","Sound BOX Charges for the monthof APR-2026","","116.82","","2,23,659.91","7","1"
"249","30/04/2026","NEFT/AXNPN12040136441/UTIB/PHONEPELIMITED-PAYMENT","","","50,771.29","2,74,431.20","7","1"
"250","30/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 30-04-2026","","","6,297.38","2,80,728.58","7","1"
