"S.no","Transaction ID","Transaction date","Cheque No","Description","Withdrawal(Dr)","Deposit(Cr)","Available Balance","Page Number","Minus"
"18","S4957206","02/05/2025","","NEFT-UTIBN62025050277552243-GOOGLEINDIADIGITAL S","","285.00","55565.47","3","1"
"19","S4995486","02/05/2025","","NEFT-UTIBN62025050277836986-GOOGLEINDIADIGITAL S","","1000.00","56565.47","4","1"
"20","S5052550","02/05/2025","","MMT/IMPS/512216427282/advancepaymentt/TYRESALES/HD","14024.00","","42541.47","4","1"
"21","S5052554","02/05/2025","","MMT/IMPS/512216427282/advancepaymentt/TYRESALES/HD","","14024.00","56565.47","4","1"
"22","S5054330","02/05/2025","","INF/INFT/040126953981/advancepaymentt/TYRESALES1","14024.00","","42541.47","4","1"
"23","S5121368","02/05/2025","","MMT/IMPS/512217573489/paymenttowardsi/HARIENTERP/B","24000.00","","18541.47","4","1"
"24","S5170102","02/05/2025","","NEFT-UTIBN62025050278757764-GOOGLEINDIADIGITAL S","","2400.00","20941.47","4","1"
"25","S5206167","02/05/2025","","NEFT-UTIBN62025050278996090-GOOGLEINDIADIGITAL S","","2000.00","22941.47","4","1"
"26","S5206919","02/05/2025","","NEFT-UTIBN62025050279003531-GOOGLEINDIADIGITAL S","","1270.00","24211.47","5","1"
"27","S5675514","03/05/2025","","NEFT-UTIBN62025050386137955-GOOGLEINDIADIGITAL S","","360.00","24571.47","5","1"
"28","S5695382","03/05/2025","","NEFT-UTIBN62025050386194322-GOOGLEINDIADIGITAL S","","235.00","24806.47","5","1"
"29","S5802863","03/05/2025","","NEFT-UTIBN62025050386642433-GOOGLEINDIADIGITAL S","","640.00","25446.47","5","1"
"30","S6086895","03/05/2025","","NEFT-UTIBN62025050388071422-GOOGLEINDIADIGITAL S","","280.00","25726.47","5","1"
"31","S6271758","03/05/2025","","NEFT-UTIBN62025050389175149-GOOGLEINDIADIGITAL S","","2900.00","28626.47","5","1"
"32","S6726908","04/05/2025","","NEFT-UTIBN62025050496544413-GOOGLEINDIADIGITAL S","","325.00","28951.47","5","1"
"33","S6727015","04/05/2025","","NEFT-UTIBN62025050496553149-GOOGLEINDIADIGITAL S","","1850.00","30801.47","6","1"
"34","S6743319","04/05/2025","","NEFT-UTIBN62025050496675059-GOOGLEINDIADIGITAL S","","35.00","30836.47","6","1"
"35","S6837434","04/05/2025","","NEFT-UTIBN62025050497257718-GOOGLEINDIADIGITAL S","","350.00","31186.47","6","1"
"36","S6864436","04/05/2025","","NEFT-UTIBN62025050497422726-GOOGLEINDIADIGITAL S","","200.00","31386.47","6","1"
"37","S6876822","04/05/2025","","NEFT-UTIBN62025050497504619-GOOGLEINDIADIGITAL S","","75.00","31461.47","6","1"
"38","S6902541","04/05/2025","","NEFT-UTIBN62025050497723279-GOOGLEINDIADIGITAL S","","335.00","31796.47","6","1"
"39","S7493183","05/05/2025","","BusinessLoanXX05537EMI Tiru","11019.00","","20777.47","6","1"
"40","S7631922","05/05/2025","","NEFT-UTIBN62025050505169835-GOOGLEINDIADIGITAL S","","250.00","21027.47","7","1"
"41","S7695644","05/05/2025","","NEFT-UTIBN62025050505479188-GOOGLEINDIADIGITAL S","","350.00","21377.47","7","1"
"42","S7884088","05/05/2025","","NEFT-UTIBN62025050506461450-GOOGLEINDIADIGITAL S","","1050.00","22427.47","7","1"
"43","S7955895","05/05/2025","","NEFT-UTIBN62025050506826670-GOOGLEINDIADIGITAL S","","2895.00","25322.47","7","1"
"44","S7974479","05/05/2025","","MMT/IMPS/512515507361/ReqPay/tirupatiau/State Bank","","36000.00","61322.47","7","1"
"45","S7976762","05/05/2025","","INF/INFT/040156616151/paymenttowardsi/TYRECENTRE2","31500.00","","29822.47","7","1"
"46","S8179700","05/05/2025","","NEFT-UTIBN62025050507984778-GOOGLEINDIADIGITAL S","","700.00","30522.47","7","1"
"47","S8252665","05/05/2025","","NEFT-UTIBN62025050508535614-GOOGLEINDIADIGITAL S","","200.00","30722.47","8","1"
"48","S8827277","06/05/2025","","NEFT-UTIBN62025050615778090-GOOGLEINDIADIGITAL S","","190.00","30912.47","8","1"
"49","S8831407","06/05/2025","","NEFT-UTIBN62025050615820582-GOOGLEINDIADIGITAL S","","790.00","31702.47","8","1"
"50","S8996290","06/05/2025","","NEFT-UTIBN62025050616661539-GOOGLEINDIADIGITAL S","","410.00","32112.47","8","1"
"51","S9392349","06/05/2025","","NEFT-UTIBN62025050618889013-GOOGLEINDIADIGITAL S","","10.00","32122.47","8","1"
"52","S9811398","07/05/2025","","NEFT-UTIBN62025050725492834-GOOGLEINDIADIGITAL S","","40.00","32162.47","8","1"
"53","S9812880","07/05/2025","","NEFT-UTIBN62025050725542544-GOOGLEINDIADIGITAL S","","50.00","32212.47","8","1"
"54","S9830090","07/05/2025","","NEFT-UTIBN62025050725653471-GOOGLEINDIADIGITAL S","","2300.00","34512.47","9","1"
"55","S246413","07/05/2025","","NEFT-UTIBN62025050727702148-GOOGLEINDIADIGITAL S","","1600.00","36112.47","9","1"
"56","S252973","07/05/2025","","NEFT-UTIBN62025050727788815-GOOGLEINDIADIGITAL S","","1000.00","37112.47","9","1"
"57","S255704","07/05/2025","","NEFT-UTIBN62025050727803807-GOOGLEINDIADIGITAL S","","100.00","37212.47","9","1"
"58","S365197","07/05/2025","","NEFT-UTIBN62025050728288390-GOOGLEINDIADIGITAL S","","2200.00","39412.47","9","1"
"59","S369219","07/05/2025","","NEFT-UTIBN62025050728306154-GOOGLEINDIADIGITAL S","","28.00","39440.47","9","1"
"60","S400200","07/05/2025","","NEFT-UTIBN62025050728535430-GOOGLEINDIADIGITAL S","","75.00","39515.47","9","1"
"61","S532149","07/05/2025","","MMT/IMPS/512719623076/paymenttowardsi/BHARATTYRE/S","15554.00","","23961.47","10","1"
"62","S534108","07/05/2025","","MMT/IMPS/512719627551/paymenttowardsi/TYREHUB/HDFC","13930.00","","10031.47","10","1"
"63","S947248","08/05/2025","","NEFT-UTIBN62025050836210842-GOOGLEINDIADIGITAL S","","275.00","10306.47","10","1"
"64","S964474","08/05/2025","","NEFT-UTIBN62025050836347862-GOOGLEINDIADIGITAL S","","480.00","10786.47","10","1"
"65","S1269739","08/05/2025","","MMT/IMPS/512815778230/ReqPay/tirupatiau/State Bank","","40000.00","50786.47","10","1"
"66","S1270858","08/05/2025","","NEFT-UTIBN62025050838120247-GOOGLEINDIADIGITAL S","","450.00","51236.47","10","1"
"67","S1273564","08/05/2025","","INF/INFT/040203568401/paymenttowardsi/TYRESALES1","19000.00","","32236.47","10","1"
"68","S1277717","08/05/2025","","NEFT-UTIBN62025050838231737-GOOGLEINDIADIGITAL S","","1000.00","33236.47","11","1"
"69","S1310070","08/05/2025","","NEFT-UTIBN62025050838357581-GOOGLEINDIADIGITAL S","","300.00","33536.47","11","1"
"70","S1434793","08/05/2025","","NEFT-UTIBN62025050838897813-GOOGLEINDIADIGITAL S","","125.00","33661.47","11","1"
"71","S1444761","08/05/2025","","NEFT-UTIBN62025050839017642-GOOGLEINDIADIGITAL S","","500.00","34161.47","11","1"
"72","S1503326","08/05/2025","","NEFT-UTIBN62025050839300642-GOOGLEINDIADIGITAL S","","2000.00","36161.47","11","1"
"73","S1508989","08/05/2025","","NEFT-UTIBN62025050839375979-GOOGLEINDIADIGITAL S","","525.00","36686.47","11","1"
"74","S1513874","08/05/2025","","NEFT-UTIBN62025050839457539-GOOGLEINDIADIGITAL S","","1500.00","38186.47","11","1"
"75","S1952031","09/05/2025","","NEFT-UTIBN62025050946560919-GOOGLEINDIADIGITAL S","","280.00","38466.47","12","1"
"76","S1974016","09/05/2025","","UPI/512924254235/Sent usingPayt/8210601144@ptax/A","","393.00","38859.47","12","1"
"77","S1973300","09/05/2025","","UPI/512930957576/Sent usingPayt/8210601144@ptsb/A","","7.00","38866.47","12","1"
"78","S1992226","09/05/2025","","NEFT-UTIBN62025050946852019-GOOGLEINDIADIGITAL S","","2690.00","41556.47","12","1"
"79","S2182442","09/05/2025","","MMT/IMPS/512913794881/ReqPay/tirupatiau/State Bank","","4000.00","45556.47","12","1"
"80","S2426113","09/05/2025","","NEFT-UTIBN62025050949286226-GOOGLEINDIADIGITAL S","","2000.00","47556.47","12","1"
"81","S2460050","09/05/2025","","NEFT-UTIBN62025050949531495-GOOGLEINDIADIGITAL S","","950.00","48506.47","12","1"
"82","S2444568","09/05/2025","","UPI/512925079137/PGWI012403877L/deut2001030000@/D","","100.00","48606.47","13","1"
"83","S2505603","09/05/2025","","NEFT-UTIBN62025050949909550-GOOGLEINDIADIGITAL S","","1500.00","50106.47","13","1"
"84","S2535217","09/05/2025","","NEFT-UTIBN62025050950117773-GOOGLEINDIADIGITAL S","","1000.00","51106.47","13","1"
"85","S2556349","09/05/2025","","NEFT-UTIBN62025050950262936-GOOGLEINDIADIGITAL S","","475.00","51581.47","13","1"
"86","S2938097","10/05/2025","","NEFT-UTIBN62025051056897149-GOOGLEINDIADIGITAL S","","5500.00","57081.47","13","1"
"87","S2938171","10/05/2025","","NEFT-UTIBN62025051056910912-GOOGLEINDIADIGITAL S","","50.00","57131.47","13","1"
"88","S3027451","10/05/2025","","NEFT-UTIBN62025051057292777-GOOGLEINDIADIGITAL S","","75.00","57206.47","13","1"
"89","S3028118","10/05/2025","","NEFT-UTIBN62025051057310463-GOOGLEINDIADIGITAL S","","25.00","57231.47","14","1"
"90","S3071312","10/05/2025","","NEFT-UTIBN62025051057501808-GOOGLEINDIADIGITAL S","","30.00","57261.47","14","1"
"91","S3116461","10/05/2025","","NEFT-UTIBN62025051057714961-GOOGLEINDIADIGITAL S","","870.00","58131.47","14","1"
"92","S3137224","10/05/2025","","NEFT-UTIBN62025051057887175-GOOGLEINDIADIGITAL S","","1500.00","59631.47","14","1"
"93","S3218696","10/05/2025","","NEFT-UTIBN62025051058281322-GOOGLEINDIADIGITAL S","","10.00","59641.47","14","1"
"94","S3277903","10/05/2025","","NEFT-UTIBN62025051058551177-GOOGLEINDIADIGITAL S","","1000.00","60641.47","14","1"
"95","S3640464","11/05/2025","","NEFT-UTIBN62025051165922505-GOOGLEINDIADIGITAL S","","250.00","60891.47","14","1"
"96","S3676478","11/05/2025","","NEFT-UTIBN62025051166116682-GOOGLEINDIADIGITAL S","","175.00","61066.47","15","1"
"97","S3825796","11/05/2025","","NEFT-UTIBN62025051167195396-GOOGLEINDIADIGITAL S","","1550.00","62616.47","15","1"
"98","S3870294","11/05/2025","","NEFT-UTIBN62025051167490845-GOOGLEINDIADIGITAL S","","1500.00","64116.47","15","1"
"99","S3883345","11/05/2025","","NEFT-UTIBN62025051167615268-GOOGLEINDIADIGITAL S","","250.00","64366.47","15","1"
"100","S3883649","11/05/2025","","NEFT-UTIBN62025051167644626-GOOGLEINDIADIGITAL S","","30.00","64396.47","15","1"
"101","S3910475","11/05/2025","","NEFT-UTIBN62025051167948051-GOOGLEINDIADIGITAL S","","450.00","64846.47","15","1"
"102","S3910591","11/05/2025","","NEFT-UTIBN62025051167954327-GOOGLEINDIADIGITAL S","","30.00","64876.47","15","1"
"103","S4471120","12/05/2025","","NEFT-UTIBN62025051275035216-GOOGLEINDIADIGITAL S","","1630.00","66506.47","16","1"
"104","S4496320","12/05/2025","","NEFT-UTIBN62025051275167565-GOOGLEINDIADIGITAL S","","280.00","66786.47","16","1"
"105","S4706208","12/05/2025","","MMT/IMPS/513215104736/paymenttowardsi/TYRECENTRE/K","24095.00","","42691.47","16","1"
"106","S4922005","12/05/2025","","NEFT-UTIBN62025051277437788-GOOGLEINDIADIGITAL S","","20.00","42711.47","16","1"
"107","S5372121","13/05/2025","","NEFT-UTIBN62025051384563453-GOOGLEINDIADIGITAL S","","100.00","42811.47","16","1"
"108","S5393825","13/05/2025","","NEFT-UTIBN62025051384631018-GOOGLEINDIADIGITAL S","","2000.00","44811.47","16","1"
"109","S5394214","13/05/2025","","NEFT-UTIBN62025051384635459-GOOGLEINDIADIGITAL S","","2000.00","46811.47","16","1"
"110","S5399867","13/05/2025","","NEFT-UTIBN62025051384737319-GOOGLEINDIADIGITAL S","","400.00","47211.47","17","1"
"111","S5427407","13/05/2025","","NEFT-UTIBN62025051384814970-GOOGLEINDIADIGITAL S","","515.00","47726.47","17","1"
"112","S5507763","13/05/2025","","NEFT-UTIBN62025051385210877-GOOGLEINDIADIGITAL S","","1800.00","49526.47","17","1"
"113","S5608714","13/05/2025","","MMT/IMPS/513315835691/ReqPay/tirupatiau/State Bank","","50000.00","99526.47","17","1"
"114","S5610513","13/05/2025","","MMT/IMPS/513315271873/paymenttowardsi/GOELCHEMIC/I","56880.00","","42646.47","17","1"
"115","S5622026","13/05/2025","","INF/INFT/040258544651/paymenttowardsi/TYRECENTRE2","28000.00","","14646.47","17","1"
"116","S5663294","13/05/2025","","NEFT-UTIBN62025051386275238-GOOGLEINDIADIGITAL S","","280.00","14926.47","17","1"
"117","S5691307","13/05/2025","","NEFT-UTIBN62025051386384139-GOOGLEINDIADIGITAL S","","150.00","15076.47","18","1"
"118","S5814342","13/05/2025","","NEFT-UTIBN62025051386832488-GOOGLEINDIADIGITAL S","","30.00","15106.47","18","1"
"119","S5821836","13/05/2025","","NEFT-UTIBN62025051386800164-GOOGLEINDIADIGITAL S","","1100.00","16206.47","18","1"
"120","S6254341","14/05/2025","","NEFT-UTIBN62025051494393019-GOOGLEINDIADIGITAL S","","80.00","16286.47","18","1"
"121","S6281897","14/05/2025","","NEFT-UTIBN62025051494519202-GOOGLEINDIADIGITAL S","","320.00","16606.47","18","1"
"122","S6281889","14/05/2025","","NEFT-UTIBN62025051494520114-GOOGLEINDIADIGITAL S","","10.00","16616.47","18","1"
"123","S6346548","14/05/2025","","NEFT-UTIBN62025051494908793-GOOGLEINDIADIGITAL S","","360.00","16976.47","18","1"
"124","S6351307","14/05/2025","","MMT/IMPS/513411987783/rDS0p5A71GEmXi9q/SAVITA OIL","","110.00","17086.47","19","1"
"125","S6349367","14/05/2025","","UPI/msgulf@sc/WS-174720113131/StandardCharte/5134","","200.00","17286.47","19","1"
"126","S6374603","14/05/2025","","NEFT-UTIBN62025051495095613-GOOGLEINDIADIGITAL S","","1405.00","18691.47","19","1"
"127","S6400248","14/05/2025","","NEFT-UTIBN62025051495158931-GOOGLEINDIADIGITAL S","","1025.00","19716.47","19","1"
"128","S6556958","14/05/2025","","NEFT-UTIBN62025051496061809-GOOGLEINDIADIGITAL S","","716.00","20432.47","19","1"
"129","S6581230","14/05/2025","","MMT/IMPS/513415858130/ReqPay/tirupatiau/State Bank","","30000.00","50432.47","19","1"
"130","S6585950","14/05/2025","","MMT/IMPS/513415558463/advancepaymentt/TYRECENTRE/K","21000.00","","29432.47","19","1"
"131","S6610441","14/05/2025","","NEFT-UTIBN62025051496412552-GOOGLEINDIADIGITAL S","","150.00","29582.47","20","1"
"132","S6597655","14/05/2025","","UPI/513425074106/PGWI012430623L/deut2001030000@/D","","20.00","29602.47","20","1"
"133","S6644845","14/05/2025","","MMT/IMPS/513416702273/paymenttowardsi/TYREHUB/HDFC","14960.00","","14642.47","20","1"
"134","S6697136","14/05/2025","","MMT/IMPS/513416918905/ReqPay/tirupatiau/State Bank","","30000.00","44642.47","20","1"
"135","S6699826","14/05/2025","","MMT/IMPS/513416810602/paymenttowardsi/HARIENTERP/B","18993.00","","25649.47","20","1"
"136","S6704266","14/05/2025","","NEFT-UTIBN62025051496806505-GOOGLEINDIADIGITAL S","","3400.00","29049.47","20","1"
"137","S6801741","14/05/2025","","NEFT-UTIBN62025051497506689-GOOGLEINDIADIGITAL S","","60.00","29109.47","20","1"
"138","S6827276","14/05/2025","","NEFT-UTIBN62025051497743425-GOOGLEINDIADIGITAL S","","250.00","29359.47","21","1"
"139","S6832660","14/05/2025","","NEFT-UTIBN62025051497839114-GOOGLEINDIADIGITAL S","","1430.00","30789.47","21","1"
"140","S6833103","14/05/2025","","NEFT-UTIBN62025051497845401-GOOGLEINDIADIGITAL S","","5.00","30794.47","21","1"
"141","S7340043","15/05/2025","","NEFT-UTIBN62025051504985524-GOOGLEINDIADIGITAL S","","250.00","31044.47","21","1"
"142","S7397915","15/05/2025","","NEFT-UTIBN62025051505272952-GOOGLEINDIADIGITAL S","","100.00","31144.47","21","1"
"143","S7557576","15/05/2025","","NEFT-UTIBN62025051505976309-GOOGLEINDIADIGITAL S","","80.00","31224.47","21","1"
"144","S7609596","15/05/2025","","NEFT-UTIBN62025051506256528-GOOGLEINDIADIGITAL S","","450.00","31674.47","21","1"
"145","S7610614","15/05/2025","","NEFT-UTIBN62025051506279448-GOOGLEINDIADIGITAL S","","1200.00","32874.47","22","1"
"146","S7734254","15/05/2025","","NEFT-UTIBN62025051506816774-GOOGLEINDIADIGITAL S","","280.00","33154.47","22","1"
"147","S7860367","15/05/2025","","NEFT-UTIBN62025051507506490-GOOGLEINDIADIGITAL S","","485.00","33639.47","22","1"
"148","S7892664","15/05/2025","","NEFT-UTIBN62025051507808154-GOOGLEINDIADIGITAL S","","100.00","33739.47","22","1"
"149","S8291811","16/05/2025","","NEFT-UTIBN62025051614868268-GOOGLEINDIADIGITAL S","","430.00","34169.47","22","1"
"150","S8307689","16/05/2025","","NEFT-UTIBN62025051614934320-GOOGLEINDIADIGITAL S","","180.00","34349.47","22","1"
"151","S8307970","16/05/2025","","NEFT-UTIBN62025051614945086-GOOGLEINDIADIGITAL S","","75.00","34424.47","22","1"
"152","S8310283","16/05/2025","","NEFT-UTIBN62025051615013081-GOOGLEINDIADIGITAL S","","1100.00","35524.47","23","1"
"153","S8379712","16/05/2025","","MMT/IMPS/513611497317/Big CityBankd/CashfreeP/K","","1.00","35525.47","23","1"
"154","S8596043","16/05/2025","","MMT/IMPS/513615938590/ReqPay/tirupatiau/State Bank","","16000.00","51525.47","23","1"
"155","S8598277","16/05/2025","","MMT/IMPS/513615990891/paymenttowardsi/SHREEMAHIN/H","39600.00","","11925.47","23","1"
"156","S8630058","16/05/2025","","NEFT-UTIBN62025051616762867-GOOGLEINDIADIGITAL S","","2000.00","13925.47","23","1"
"157","S8631945","16/05/2025","","NEFT-UTIBN62025051616786313-GOOGLEINDIADIGITAL S","","300.00","14225.47","23","1"
"158","S8641384","16/05/2025","","MMT/IMPS/513616086527/paymenttowardsi/MARCPATNA/UT","12654.00","","1571.47","23","1"
"159","S8644610","16/05/2025","","MMT/IMPS/513616967866/ReqPay/tirupatiau/State Bank","","20000.00","21571.47","24","1"
"160","S8663039","16/05/2025","","NEFT-UTIBN62025051616830597-GOOGLEINDIADIGITAL S","","1550.00","23121.47","24","1"
"161","S8714225","16/05/2025","","MMT/IMPS/513617504637/ReqPay/tirupatiau/State Bank","","3000.00","26121.47","24","1"
"162","S8722907","16/05/2025","","NEFT-UTIBN62025051617235656-GOOGLEINDIADIGITAL S","","140.00","26261.47","24","1"
"163","S9073105","17/05/2025","","NEFT-UTIBN62025051726238788-GOOGLEINDIADIGITAL S","","3300.00","29561.47","24","1"
"164","S9091576","17/05/2025","","NEFT-UTIBN62025051726322113-GOOGLEINDIADIGITAL S","","16.00","29577.47","24","1"
"165","S9104082","17/05/2025","","NEFT-UTIBN62025051726408341-GOOGLEINDIADIGITAL S","","50.00","29627.47","24","1"
"166","S9178808","17/05/2025","","NEFT-UTIBN62025051726881014-GOOGLEINDIADIGITAL S","","950.00","30577.47","25","1"
"167","S9251008","17/05/2025","","NEFT-UTIBN62025051727167921-GOOGLEINDIADIGITAL S","","125.00","30702.47","25","1"
"168","S9284029","17/05/2025","","Plugin Subs.Charge Apr-25","100.00","","30602.47","25","1"
"169","S9284029","17/05/2025","","SGST202505176134559650","9.00","","30593.47","25","1"
"170","S9284029","17/05/2025","","CGST202505176134559655","9.00","","30584.47","25","1"
"171","S9344028","17/05/2025","","NEFT-UTIBN62025051727669310-GOOGLEINDIADIGITAL S","","1130.00","31714.47","25","1"
"172","S9344886","17/05/2025","","NEFT-UTIBN62025051727691987-GOOGLEINDIADIGITAL S","","1000.00","32714.47","25","1"
"173","S9438491","17/05/2025","","NEFT-UTIBN62025051728258835-GOOGLEINDIADIGITAL S","","1400.00","34114.47","25","1"
"174","S9439159","17/05/2025","","NEFT-UTIBN62025051728270024-GOOGLEINDIADIGITAL S","","1090.00","35204.47","26","1"
"175","S10540","18/05/2025","","UPI/513825058997/LubriCash/deut2001030000@/Deutsch","","300.00","35504.47","26","1"
"176","S58349","18/05/2025","","NEFT-UTIBN62025051837865262-GOOGLEINDIADIGITAL S","","360.00","35864.47","26","1"
"177","S470846","19/05/2025","","NEFT-UTIBN62025051944953381-GOOGLEINDIADIGITAL S","","1300.00","37164.47","26","1"
"178","S473285","19/05/2025","","NEFT-UTIBN62025051944985120-GOOGLEINDIADIGITAL S","","170.00","37334.47","26","1"
"179","S501911","19/05/2025","","NEFT-UTIBN62025051945120749-GOOGLEINDIADIGITAL S","","190.00","37524.47","26","1"
"180","S558559","19/05/2025","","NEFT-UTIBN62025051945408540-GOOGLEINDIADIGITAL S","","50.00","37574.47","26","1"
"181","S605563","19/05/2025","","NEFT-UTIBN62025051945656042-GOOGLEINDIADIGITAL S","","300.00","37874.47","27","1"
"182","S622337","19/05/2025","","NEFT-UTIBN62025051945711336-GOOGLEINDIADIGITAL S","","1420.00","39294.47","27","1"
"183","S624620","19/05/2025","","MMT/IMPS/513914467394/paymenttowardsi/TYRESALES/HD","13944.00","","25350.47","27","1"
"184","S707190","19/05/2025","","NEFT-UTIBN62025051946267827-GOOGLEINDIADIGITAL S","","840.00","26190.47","27","1"
"185","S767440","19/05/2025","","NEFT-UTIBN62025051946496940-GOOGLEINDIADIGITAL S","","400.00","26590.47","27","1"
"186","S767729","19/05/2025","","NEFT-UTIBN62025051946498492-GOOGLEINDIADIGITAL S","","500.00","27090.47","27","1"
"187","S768150","19/05/2025","","NEFT-UTIBN62025051946502644-GOOGLEINDIADIGITAL S","","2900.00","29990.47","27","1"
"188","S769130","19/05/2025","","NEFT-UTIBN62025051946520010-GOOGLEINDIADIGITAL S","","100.00","30090.47","28","1"
"189","S904662","19/05/2025","","NEFT-UTIBN62025051947311614-GOOGLEINDIADIGITAL S","","35.00","30125.47","28","1"
"190","S1340041","20/05/2025","","NEFT-UTIBN62025052054389071-GOOGLEINDIADIGITAL S","","1700.00","31825.47","28","1"
"191","S1384834","20/05/2025","","NEFT-UTIBN62025052054601270-GOOGLEINDIADIGITAL S","","20.00","31845.47","28","1"
"192","S1412539","20/05/2025","","NEFT-UTIBN62025052054782688-GOOGLEINDIADIGITAL S","","1500.00","33345.47","28","1"
"193","S1464796","20/05/2025","","MMT/IMPS/514012788347/ReqPay/tirupatiau/State Bank","","30000.00","63345.47","28","1"
"194","S1466730","20/05/2025","","MMT/IMPS/514012343142/paymenttowardsi/HARIENTERP/B","30000.00","","33345.47","28","1"
"195","S1521988","20/05/2025","","BIL/ONL/001013429190/NorthBIHA","1000.00","","32345.47","29","1"
"196","S1536864","20/05/2025","","NEFT-UTIBN62025052055373000-GOOGLEINDIADIGITAL S","","5.00","32350.47","29","1"
"197","S1547723","20/05/2025","","NEFT-UTIBN62025052055507519-GOOGLEINDIADIGITAL S","","4100.00","36450.47","29","1"
"198","S1781031","20/05/2025","","NEFT-UTIBN62025052056554742-GOOGLEINDIADIGITAL S","","560.00","37010.47","29","1"
"199","S2185829","21/05/2025","","NEFT-UTIBN62025052163713180-GOOGLEINDIADIGITAL S","","1275.00","38285.47","29","1"
"200","S2186068","21/05/2025","","NEFT-UTIBN62025052163717509-GOOGLEINDIADIGITAL S","","65.00","38350.47","29","1"
"201","S2216726","21/05/2025","","NEFT-UTIBN62025052163966225-GOOGLEINDIADIGITAL S","","2745.00","41095.47","29","1"
"202","S2233839","21/05/2025","","NEFT-UTIBN62025052164021044-GOOGLEINDIADIGITAL S","","118.00","41213.47","30","1"
"203","S2239893","21/05/2025","","MMT/IMPS/514110038523/transfertoown/TIRUPATIAU/SBI","11000.00","","30213.47","30","1"
"204","S2275338","21/05/2025","","NEFT-UTIBN62025052164247538-GOOGLEINDIADIGITAL S","","1950.00","32163.47","30","1"
"205","S2571650","21/05/2025","","NEFT-UTIBN62025052165878986-GOOGLEINDIADIGITAL S","","2370.00","34533.47","30","1"
"206","S2606883","21/05/2025","","NEFT-UTIBN62025052165965757-GOOGLEINDIADIGITAL S","","560.00","35093.47","30","1"
"207","S2617303","21/05/2025","","MMT/IMPS/514116950925/ReqPay/tirupatiau/State Bank","","20000.00","55093.47","30","1"
"208","S2625002","21/05/2025","","MMT/IMPS/514117969086/paymenttowardsi/MSAUTOAGEN/F","31256.00","","23837.47","30","1"
"209","S2707079","21/05/2025","","UPI/514125105061/PGWI012470110L/deut2001030000@/D","","100.00","23937.47","31","1"
"210","S3076476","22/05/2025","","NEFT-UTIBN62025052273714665-GOOGLEINDIADIGITAL S","","1750.00","25687.47","31","1"
"211","S3106980","22/05/2025","","NEFT-UTIBN62025052273917210-GOOGLEINDIADIGITAL S","","2100.00","27787.47","31","1"
"212","S3151342","22/05/2025","","NEFT-UTIBN62025052274206946-GOOGLEINDIADIGITAL S","","2295.00","30082.47","31","1"
"213","S3188058","22/05/2025","","UPI/514275429204/none/maklubes@icici/ICICIBank LT","","115.00","30197.47","31","1"
"214","S3293049","22/05/2025","","NEFT-UTIBN62025052274914907-GOOGLEINDIADIGITAL S","","1200.00","31397.47","31","1"
