"Sr No","Tran ID","Value Date","Transaction Date","Transaction Posted Date","Cheque no/ Ref No","Transaction Remarks","Withdrawl(Dr)","Deposit(Cr)","Balance","Page Number","Minus"
"42","S2089 0645","17/Apr/2025","17/04/2025","17/04/2025 04:15:01 PM","","LVCHEXX48358- BOUNCECHGSAPR2 5GST","59.00","","9,467.99","2","1"
"43","S2090 2431","17/Apr/2025","17/04/2025","17/04/2025 04:16:44 PM","","LVCHEXX48354- BOUNCECHGSAPR2 5GST","59.00","","9,408.99","2","1"
"44","S2090 2963","17/Apr/2025","17/04/2025","17/04/2025 04:16:45 PM","","LVCHEXX48352- BOUNCECHGSAPR2 5GST","59.00","","9,349.99","2","1"
"45","S2090 2251","17/Apr/2025","17/04/2025","17/04/2025 04:16:46 PM","","LVCHEXX48351- BOUNCECHGSAPR2 5GST","59.00","","9,290.99","2","1"
"46","S2091 5895","17/Apr/2025","17/04/2025","17/04/2025 04:18:31 PM","","LVCHEXX48357- BOUNCECHGSAPR2 5GST","59.00","","9,231.99","2","1"
"47","S2091 5160","17/Apr/2025","17/04/2025","17/04/2025 04:18:34 PM","","LVCHEXX48356- BOUNCECHGSAPR2 5GST","59.00","","9,172.99","2","1"
"48","S5611 8302","22/Apr/2025","22/04/2025","22/04/2025 11:23:38 AM","","BIL/ONL/001000671 494/eChallan T","505.90","","8,667.09","2","1"
"49","S5613 6102","22/Apr/2025","22/04/2025","22/04/2025 11:26:11 AM","","BIL/ONL/001000672 627/eChallan T","1,511.80","","7,155.29","2","1"
"50","S5614 8265","22/Apr/2025","22/04/2025","22/04/2025 11:28:17 AM","","BIL/ONL/001000673 705/eChallan T","505.90","","6,649.39","2","1"
"51","S5616 5176","22/Apr/2025","22/04/2025","22/04/2025 11:30:53 AM","","BIL/ONL/001000674 915/eChallan T","505.90","","6,143.49","2","1"
"52","S5619 4302","22/Apr/2025","22/04/2025","22/04/2025 11:33:55 AM","","BIL/ONL/001000676 305/eChallan T","505.90","","5,637.59","2","1"
"53","S5621 4086","22/Apr/2025","22/04/2025","22/04/2025 11:35:49 AM","","BIL/ONL/001000677 132/Tamil Nadu","1,011.80","","4,625.79","2","1"
"54","S5623 9054","22/Apr/2025","22/04/2025","22/04/2025 11:38:23 AM","","BIL/ONL/001000678 305/eChallan T","105.90","","4,519.89","2","1"
"55","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:08 PM","","VEHICLE LN_INT OVERDUE_XX65176","46.00","","4,473.89","2","1"
"56","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:08 PM","","VEHICLE LN_INT OVERDUE_XX65177","46.00","","4,427.89","2","1"
"57","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:08 PM","","VEHICLE LN_INT OVERDUE_XX65178","46.00","","4,381.89","2","1"
"58","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:08 PM","","VEHICLE LN_INT OVERDUE_XX53129","50.00","","4,331.89","3","1"
"59","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:09 PM","","VEHICLE LN_INT OVERDUE_XX53130","50.00","","4,281.89","3","1"
"60","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:09 PM","","VEHICLE LN_INT OVERDUE_XX53131","50.00","","4,231.89","3","1"
"61","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:09 PM","","VEHICLE LN_INT OVERDUE_XX53132","50.00","","4,181.89","3","1"
"62","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:09 PM","","VEHICLE LN_INT OVERDUE_XX53133","50.00","","4,131.89","3","1"
"63","S6825 1077","23/Apr/2025","23/04/2025","23/04/2025 06:12:09 PM","","VEHICLE LN_INT OVERDUE_XX53134","50.00","","4,081.89","3","1"
"64","S6828 7752","23/Apr/2025","23/04/2025","23/04/2025 06:16:16 PM","","LVCHEXX53130- BOUNCECHGSAPR2 5GST","59.00","","4,022.89","3","1"
"65","S6828 7927","23/Apr/2025","23/04/2025","23/04/2025 06:16:19 PM","","LVCHEXX53129- BOUNCECHGSAPR2 5GST","59.00","","3,963.89","3","1"
"66","S6828 9819","23/Apr/2025","23/04/2025","23/04/2025 06:16:31 PM","","LVCHEXX53134- BOUNCECHGSAPR2 5GST","59.00","","3,904.89","3","1"
"67","S6829 1036","23/Apr/2025","23/04/2025","23/04/2025 06:16:32 PM","","LVCHEXX53133- BOUNCECHGSAPR2 5GST","59.00","","3,845.89","3","1"
"68","S6829 1081","23/Apr/2025","23/04/2025","23/04/2025 06:16:34 PM","","LVCHEXX53132- BOUNCECHGSAPR2 5GST","59.00","","3,786.89","3","1"
"69","S6829 1140","23/Apr/2025","23/04/2025","23/04/2025 06:16:35 PM","","LVCHEXX53131- BOUNCECHGSAPR2 5GST","59.00","","3,727.89","3","1"
"70","S6836 2681","23/Apr/2025","23/04/2025","23/04/2025 06:25:32 PM","","LVCHEXX65178- BOUNCECHGSAPR2 5GST","59.00","","3,668.89","3","1"
"71","S6836 2289","23/Apr/2025","23/04/2025","23/04/2025 06:25:34 PM","","LVCHEXX65177- BOUNCECHGSAPR2 5GST","59.00","","3,609.89","3","1"
"72","S6836 1913","23/Apr/2025","23/04/2025","23/04/2025 06:25:35 PM","","LVCHEXX65176- BOUNCECHGSAPR2 5GST","59.00","","3,550.89","3","1"
"73","S9277 6468","26/Apr/2025","26/04/2025","26/04/2025 06:21:34 PM","","INF/INFT/040068359 621/JOVEE HUMAN SOL","","1,00,000. 00","1,03,550. 89","3","1"
"74","S9278 7449","26/Apr/2025","26/04/2025","26/04/2025 06:22:55 PM","","MMT/IMPS/5116182 13007/TRANSCABA XIS/UTIB0001182","1,00,000. 00","","3,550.89","3","1"
"75","S2584 666","28/Apr/2025","28/04/2025","28/04/2025 11:36:10 AM","","BIL/ONL/001002923 405/eChallan T","505.90","","3,044.99","3","1"
"76","S2621 703","28/Apr/2025","28/04/2025","28/04/2025 11:39:18 AM","","BIL/ONL/001002925 048/eChallan T","505.90","","2,539.09","3","1"
"77","S2637 691","28/Apr/2025","28/04/2025","28/04/2025 11:41:26 AM","","BIL/ONL/001002926 154/eChallan T","105.90","","2,433.19","3","1"
"78","S2653 078","28/Apr/2025","28/04/2025","28/04/2025 11:43:24 AM","","BIL/ONL/001002927 120/eChallan T","105.90","","2,327.29","3","1"
"79","S2672 692","28/Apr/2025","28/04/2025","28/04/2025 11:46:24 AM","","BIL/ONL/001002928 613/eChallan T","505.90","","1,821.39","3","1"
"80","S1253 4834","29/Apr/2025","29/04/2025","29/04/2025 11:10:16 AM","","IMPS Chg Mar- 25+GST","5.90","","1,815.49","3","1"
"81","S1324 9056","29/Apr/2025","29/04/2025","29/04/2025 12:25:25 PM","","Mob alrt Chg Mar- 25+GST","29.50","","1,785.99","3","1"
"82","S5974 8179","03/May/2025","03/05/2025","03/05/2025 01:34:37 PM","","NEFT- UTIBN62025050387 530762-VIJAY TRANSCAB INDIA P LTD-0037504- 912020023300770- UTIB0001182","","25,000.00","26,785.99","3","1"
"83","S6030 1003","03/May/2025","03/05/2025","03/05/2025 02:34:24 PM","","BIL/ONL/001006082 731/ELECTRONIC/M ADESHA","25,000.00","","1,785.99","3","1"
"84","S8935 9964","06/May/2025","06/05/2025","06/05/2025 01:07:36 PM","","NEFT- UTIBN62025050616 323248-VIJAY TRANSCAB INDIA P LTD-0037508- 912020023300770- UTIB0001182","","6,50,000. 00","6,51,785. 99","3","1"
"85","S8942 6273","06/May/2025","06/05/2025","06/05/2025 01:13:24 PM","","BIL/ONL/001007600 522/eChallan T/MADESHA","505.90","","6,51,280. 09","3","1"
"86","S8944 9062","06/May/2025","06/05/2025","06/05/2025 01:15:50 PM","","BIL/ONL/001007601 709/eChallan T/MADESHA","2,711.80","","6,48,568. 29","3","1"
"87","S9003 5659","06/May/2025","06/05/2025","06/05/2025 02:10:33 PM","","BIL/ONL/001007627 642/Transport","31,536.16","","6,17,032. 13","3","1"
"88","S9005 9009","06/May/2025","06/05/2025","06/05/2025 02:13:19 PM","","BIL/ONL/001007628 911/Transport","31,536.16","","5,85,495. 97","3","1"
"89","S9015 0753","06/May/2025","06/05/2025","06/05/2025 02:24:47 PM","","BIL/ONL/001007636 112/Transport","31,536.16","","5,53,959. 81","3","1"
"90","S9016 9749","06/May/2025","06/05/2025","06/05/2025 02:27:05 PM","","BIL/ONL/001007638 244/Transport","31,536.16","","5,22,423. 65","3","1"
"91","S9019 0355","06/May/2025","06/05/2025","06/05/2025 02:29:12 PM","","BIL/ONL/001007640 234/Transport","31,536.16","","4,90,887. 49","4","1"
"92","S9021 0146","06/May/2025","06/05/2025","06/05/2025 02:31:11 PM","","BIL/ONL/001007641 955/Transport","31,536.16","","4,59,351. 33","4","1"
"93","S9023 3620","06/May/2025","06/05/2025","06/05/2025 02:33:15 PM","","BIL/ONL/001007643 880/Transport","31,536.16","","4,27,815. 17","4","1"
"94","S9025 5009","06/May/2025","06/05/2025","06/05/2025 02:35:09 PM","","BIL/ONL/001007645 695/Transport","31,536.16","","3,96,279. 01","4","1"
"95","S9028 0937","06/May/2025","06/05/2025","06/05/2025 02:37:09 PM","","BIL/ONL/001007647 543/Transport","31,536.16","","3,64,742. 85","4","1"
"96","S9031 9179","06/May/2025","06/05/2025","06/05/2025 02:40:52 PM","","BIL/ONL/001007650 520/Transport","31,536.16","","3,33,206. 69","4","1"
"97","S9034 3668","06/May/2025","06/05/2025","06/05/2025 02:42:51 PM","","BIL/ONL/001007651 749/Transport","31,536.16","","3,01,670. 53","4","1"
"98","S9037 1155","06/May/2025","06/05/2025","06/05/2025 02:45:01 PM","","BIL/ONL/001007652 954/Transport","31,536.16","","2,70,134. 37","4","1"
"99","S9038 7761","06/May/2025","06/05/2025","06/05/2025 02:46:43 PM","","BIL/ONL/001007653 820/Transport","31,536.16","","2,38,598. 21","4","1"
"100","S9040 7526","06/May/2025","06/05/2025","06/05/2025 02:48:41 PM","","BIL/ONL/001007654 806/Transport","31,536.16","","2,07,062. 05","4","1"
"101","S9043 9747","06/May/2025","06/05/2025","06/05/2025 02:52:09 PM","","BIL/ONL/001007656 531/Transport","31,536.16","","1,75,525. 89","4","1"
"102","S9045 6258","06/May/2025","06/05/2025","06/05/2025 02:54:16 PM","","BIL/ONL/001007657 442/Transport","31,536.16","","1,43,989. 73","4","1"
"103","S9048 3240","06/May/2025","06/05/2025","06/05/2025 02:56:43 PM","","BIL/ONL/001007658 594/Transport","19,416.16","","1,24,573. 57","4","1"
"104","S9051 4166","06/May/2025","06/05/2025","06/05/2025 02:59:43 PM","","BIL/ONL/001007660 078/Transport","19,416.16","","1,05,157. 41","4","1"
"105","S9052 9197","06/May/2025","06/05/2025","06/05/2025 03:01:41 PM","","BIL/ONL/001007660 915/Transport","19,416.16","","85,741.25","4","1"
"106","S9056 8841","06/May/2025","06/05/2025","06/05/2025 03:04:27 PM","","BIL/ONL/001007662 110/Transport","19,416.16","","66,325.09","4","1"
"107","S9243 6267","06/May/2025","06/05/2025","06/05/2025 05:42:44 PM","","MMT/IMPS/5126170 11521/TRANSCABA XIS/UTIB0001182","60,000.00","","6,325.09","4","1"
"108","S2106 2085","09/May/2025","09/05/2025","09/05/2025 12:33:52 PM","","NEFT- UTIBN62025050947 471662-VIJAY TRANSCAB INDIA P LTD-0037521- 912020023300770- UTIB0001182","","11,50,000 .00","11,56,325 .09","4","1"
"109","S2106 3114","09/May/2025","09/05/2025","09/05/2025 12:33:52 PM","","NEFT- UTIBN62025050947 471628-VIJAY TRANSCAB INDIA P LTD-0037522- 912020023300770- UTIB0001182","","6,55,000. 00","18,11,325 .09","4","1"
"110","S2366 9090","09/May/2025","09/05/2025","09/05/2025 04:47:24 PM","","BIL/ONL/001009131 675/Transport /MADESHA","19,416.16","","17,91,908 .93","4","1"
"111","S2369 1346","09/May/2025","09/05/2025","09/05/2025 04:49:31 PM","","BIL/ONL/001009132 632/Transport /MADESHA","19,416.16","","17,72,492 .77","4","1"
"112","S2370 7180","09/May/2025","09/05/2025","09/05/2025 04:51:35 PM","","BIL/ONL/001009133 580/Transport /MADESHA","19,416.16","","17,53,076 .61","4","1"
"113","S2372 2978","09/May/2025","09/05/2025","09/05/2025 04:53:21 PM","","BIL/ONL/001009134 288/Transport /MADESHA","19,416.16","","17,33,660 .45","4","1"
"114","S2373 8417","09/May/2025","09/05/2025","09/05/2025 04:55:09 PM","","BIL/ONL/001009135 083/Transport /MADESHA","19,416.16","","17,14,244 .29","4","1"
"115","S2377 6844","09/May/2025","09/05/2025","09/05/2025 04:58:37 PM","","BIL/ONL/001009136 767/Transport /MADESHA","19,416.16","","16,94,828 .13","4","1"
"116","S2379 3526","09/May/2025","09/05/2025","09/05/2025 05:00:20 PM","","BIL/ONL/001009137 568/Transport /MADESHA","19,416.16","","16,75,411 .97","4","1"
"117","S2387 0284","09/May/2025","09/05/2025","09/05/2025 05:06:11 PM","","BIL/ONL/001009140 342/Transport /MADESHA","19,416.16","","16,55,995 .81","4","1"
"118","S2389 7260","09/May/2025","09/05/2025","09/05/2025 05:08:07 PM","","BIL/ONL/001009141 269/Transport /MADESHA","19,416.16","","16,36,579 .65","4","1"
"119","S2394 4342","09/May/2025","09/05/2025","09/05/2025 05:11:09 PM","","BIL/ONL/001009142 899/Transport /MADESHA","19,416.16","","16,17,163 .49","4","1"
"120","S2398 7814","09/May/2025","09/05/2025","09/05/2025 05:15:27 PM","","BIL/ONL/001009144 907/Transport /MADESHA","19,416.16","","15,97,747 .33","4","1"
"121","S2400 6525","09/May/2025","09/05/2025","09/05/2025 05:17:07 PM","","BIL/ONL/001009145 691/Transport /MADESHA","19,416.16","","15,78,331 .17","4","1"
"122","S2408 5541","09/May/2025","09/05/2025","09/05/2025 05:26:04 PM","","BIL/ONL/001009149 586/Transport /MADESHA","19,416.16","","15,58,915 .01","4","1"
"123","S2410 6313","09/May/2025","09/05/2025","09/05/2025 05:27:56 PM","","BIL/ONL/001009150 396/Transport /MADESHA","19,416.16","","15,39,498 .85","4","1"
"124","S2412 8744","09/May/2025","09/05/2025","09/05/2025 05:30:16 PM","","BIL/ONL/001009151 364/Transport /MADESHA","19,416.16","","15,20,082 .69","5","1"
"125","S2415 1000","09/May/2025","09/05/2025","09/05/2025 05:32:23 PM","","BIL/ONL/001009152 169/Transport /MADESHA","19,416.16","","15,00,666 .53","5","1"
"126","S2417 2978","09/May/2025","09/05/2025","09/05/2025 05:34:13 PM","","BIL/ONL/001009152 877/Transport /MADESHA","19,416.16","","14,81,250 .37","5","1"
"127","S2425 0703","09/May/2025","09/05/2025","09/05/2025 05:39:48 PM","","BIL/ONL/001009155 155/Transport /MADESHA","19,416.16","","14,61,834 .21","5","1"
"128","S2430 3288","09/May/2025","09/05/2025","09/05/2025 05:44:06 PM","","BIL/ONL/001009156 930/Transport","19,416.16","","14,42,418 .05","5","1"
"129","S2433 8451","09/May/2025","09/05/2025","09/05/2025 05:46:46 PM","","BIL/ONL/001009158 043/Transport","19,416.16","","14,23,001 .89","5","1"
"130","S2435 5302","09/May/2025","09/05/2025","09/05/2025 05:48:28 PM","","BIL/ONL/001009158 754/Transport","19,416.16","","14,03,585 .73","5","1"
"131","S2439 9879","09/May/2025","09/05/2025","09/05/2025 05:53:44 PM","","BIL/ONL/001009160 845/Transport","19,416.16","","13,84,169 .57","5","1"
"132","S2441 9055","09/May/2025","09/05/2025","09/05/2025 05:55:58 PM","","BIL/ONL/001009161 693/Transport","19,416.16","","13,64,753 .41","5","1"
"133","S2443 5520","09/May/2025","09/05/2025","09/05/2025 05:57:43 PM","","BIL/ONL/001009162 391/Transport","19,416.16","","13,45,337 .25","5","1"
"134","S2445 1364","09/May/2025","09/05/2025","09/05/2025 05:59:33 PM","","BIL/ONL/001009163 200/Transport","19,416.16","","13,25,921 .09","5","1"
"135","S2448 2679","09/May/2025","09/05/2025","09/05/2025 06:02:50 PM","","BIL/ONL/001009164 477/Transport","19,416.16","","13,06,504 .93","5","1"
"136","S2450 8748","09/May/2025","09/05/2025","09/05/2025 06:04:50 PM","","BIL/ONL/001009165 209/Transport","31,536.16","","12,74,968 .77","5","1"
"137","S2455 0620","09/May/2025","09/05/2025","09/05/2025 06:07:06 PM","","BIL/ONL/001009166 072/Transport","31,536.16","","12,43,432 .61","5","1"
"138","S2457 4825","09/May/2025","09/05/2025","09/05/2025 06:08:46 PM","","BIL/ONL/001009166 753/Transport","19,416.16","","12,24,016 .45","5","1"
"139","S4637 6105","12/May/2025","12/05/2025","12/05/2025 02:19:12 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186520925132 0405503","20,890.00","","12,03,126 .45","5","1"
"140","S4637 6587","12/May/2025","12/05/2025","12/05/2025 02:19:12 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521325132 0405505","20,890.00","","11,82,236 .45","5","1"
"141","S4637 5701","12/May/2025","12/05/2025","12/05/2025 02:19:13 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521225132 0405504","20,890.00","","11,61,346 .45","5","1"
"142","S4637 6122","12/May/2025","12/05/2025","12/05/2025 02:19:13 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521525132 0405507","20,890.00","","11,40,456 .45","5","1"
"143","S4637 7102","12/May/2025","12/05/2025","12/05/2025 02:19:13 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521425132 0405506","20,890.00","","11,19,566 .45","5","1"
"144","S4637 7112","12/May/2025","12/05/2025","12/05/2025 02:19:14 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521625132 0405508","20,890.00","","10,98,676 .45","5","1"
"145","S4637 7459","12/May/2025","12/05/2025","12/05/2025 02:19:22 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186524725132 0405509","58,000.00","","10,40,676 .45","5","1"
"146","S4637 8414","12/May/2025","12/05/2025","12/05/2025 02:19:23 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186525025132 0405511","58,000.00","","9,82,676. 45","5","1"
"147","S4637 8423","12/May/2025","12/05/2025","12/05/2025 02:19:23 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186524925132 0405510","58,000.00","","9,24,676. 45","5","1"
"148","S4637 8000","12/May/2025","12/05/2025","12/05/2025 02:19:24 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186515725132 0405497","49,600.00","","8,75,076. 45","5","1"
"149","S4637 8459","12/May/2025","12/05/2025","12/05/2025 02:19:24 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186516825132 0405499","49,600.00","","8,25,476. 45","6","1"
"150","S4637 8890","12/May/2025","12/05/2025","12/05/2025 02:19:24 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186525125132 0405512","58,000.00","","7,67,476. 45","6","1"
"151","S4637 8920","12/May/2025","12/05/2025","12/05/2025 02:19:24 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186517025132 0405501","49,600.00","","7,17,876. 45","6","1"
"152","S4637 7513","12/May/2025","12/05/2025","12/05/2025 02:19:25 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186517125132 0405502","49,600.00","","6,68,276. 45","6","1"
"153","S4637 8473","12/May/2025","12/05/2025","12/05/2025 02:19:25 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186516725132 0405498","49,600.00","","6,18,676. 45","6","1"
"154","S4637 8942","12/May/2025","12/05/2025","12/05/2025 02:19:25 PM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186516925132 0405500","49,600.00","","5,69,076. 45","6","1"
"155","S4646 6863","12/May/2025","12/05/2025","12/05/2025 02:32:50 PM","","ECSRTN1_08052500 00000016681010","590.00","","5,68,486. 45","6","1"
"156","S4577 4930","12/May/2025","12/05/2025","12/05/2025 03:34:31 PM","","BIL/REV PMT ID 1009155155","","19,416.16","5,87,902. 61","6","1"
"157","S4577 4930","12/May/2025","12/05/2025","12/05/2025 03:34:32 PM","","BIL/REV PMT ID 1009135083","","19,416.16","6,07,318. 77","6","1"
"158","S4714 2211","12/May/2025","12/05/2025","12/05/2025 03:56:53 PM","","ECSRTN2_08052500 00000016681010","590.00","","6,06,728. 77","6","1"
