"S.no","Transaction ID","Transaction date","Cheque No","Description","Withdrawal(Dr)","Deposit(Cr)","Available Balance","Page Number","Minus"
"161","S7309544","07/04/2026","","RTGS/ICICR42026040700553469/HDFC0005095/ROYALGRE","980542.00","","4387857.24","3","0"
"162","S8087063","08/04/2026","","MMT/IMPS/609810563862/adv/SureshUtta/SBIN0008319","1000.00","","4386857.24","3","0"
"163","S8088223","08/04/2026","","MMT/IMPS/609810565290/adv/SureshUtta/SBIN0008319","399000.00","","3987857.24","3","0"
"164","S8281544","08/04/2026","","RTGS/ICICR42026040800533943/YESB0SMBLHO/JaiAmbe","1000000.00","","2987857.24","4","0"
"165","S8282363","08/04/2026","","RTGS/ICICR42026040800534073/YESB0SMBLHO/JaiAmbe","1000000.00","","1987857.24","4","0"
"166","S8285201","08/04/2026","","RTGS/ICICR42026040800534353/YESB0SMBLHO/JaiAmbe","550000.00","","1437857.24","4","0"
"167","S8313857","08/04/2026","","RTGS/ICICR42026040800537851/KKBK0001913/BIGENTER","1000000.00","","437857.24","4","0"
"168","S8315747","08/04/2026","","RTGS/ICICR42026040800538102/KKBK0001913/BIGENTER","500000.00","","-62142.76","4","0"
"169","S8317466","08/04/2026","","RTGS/ICICR42026040800538247/HDFC0003669/SAHYADRI","1000000.00","","-1062142.76","4","0"
"170","S8432651","08/04/2026","","RTGS/ICICR42026040800553478/HDFC0002802/DECORLIN","619902.00","","-1682044.76","4","0"
"171","S8788641","08/04/2026","","MMT/IMPS/609823305345/materialnill/Rahulcable/YESB","256470.00","","-1938514.76","4","0"
"172","S8788684","08/04/2026","","MMT/IMPS/609823305345/materialnill/Rahulcable/YESB","","256470.00","-1682044.76","5","0"
"173","S8789452","08/04/2026","","MMT/IMPS/609823306226/material/Rahulcable/YESB0000","256470.00","","-1938514.76","5","0"
"174","S8789453","08/04/2026","","MMT/IMPS/609823306226/material/Rahulcable/YESB0000","","256470.00","-1682044.76","5","0"
"175","S9372033","09/04/2026","","MMT/IMPS/609916594685/advmaterialmate/Chhayahome/H","30000.00","","-1712044.76","5","0"
"176","S9414077","09/04/2026","","RTGS/ICICR42026040900555506/IBKL0001991/TURNINGP","1000000.00","","-2712044.76","5","0"
"177","S9444845","09/04/2026","","MMT/IMPS/609917731895/nilltilldatemat/RahulCable/I","256470.00","","-2968514.76","5","0"
"178","S9751760","10/04/2026","","INF/INFT/044025971801/Self-XXX286","","1000000.00","-1968514.76","5","0"
"179","S2990146","13/04/2026","","MMT/IMPS/610318124989/advtileskalwan/CERAMICZON/KK","30000.00","","-1998514.76","5","0"
"180","S5334465","16/04/2026","","RTGS/ICICR42026041600506788/YESB0SMBLHO/JaiAmbe","1000000.00","","-2998514.76","6","0"
"181","S5336297","16/04/2026","","RTGS/ICICR42026041600506929/YESB0SMBLHO/JaiAmbe","1000000.00","","-3998514.76","6","0"
"182","S5487741","16/04/2026","","INF/INFT/044098840431/Self-XXX286","","1000000.00","-2998514.76","6","0"
"183","S5488244","16/04/2026","","RTGS/ICICR42026041600529723/YESB0SMBLHO/JaiAmbe","1000000.00","","-3998514.76","6","0"
"184","S5862408","16/04/2026","","INF/INFT/044105652111/Self-XXX286","","1000000.00","-2998514.76","6","0"
"185","S5864515","16/04/2026","","RTGS/ICICR42026041600581854/YESB0SMBLHO/JaiAmbe","450031.00","","-3448545.76","6","0"
"186","S6441582","17/04/2026","","MMT/IMPS/610714027792/advc/OmElectric/HDFC0006242","162075.00","","-3610620.76","6","0"
"187","S6537930","17/04/2026","","MMT/IMPS/610716249077/advforofficecha/bachubhaic/H","110000.00","","-3720620.76","6","0"
"188","S7530617","18/04/2026","","MMT/IMPS/610817972602/adv/RajeshUtta/BARB0DBGNGA","150000.00","","-3870620.76","7","0"
"189","S9280664","21/04/2026","","MMT/IMPS/611109693304/advreturn/AlkaHalde/INDB0002","401000.00","","-4271620.76","7","0"
"190","S711926","22/04/2026","","MMT/IMPS/611218520421/adv/Chhayahome/HDFC0CPIMCO","30000.00","","-4301620.76","7","0"
"191","S934757","23/04/2026","","INF/INFT/044164638711/Self-XXX286/adv","","1000000.00","-3301620.76","7","0"
"192","S934888","23/04/2026","","INF/INFT/044164639061/Self-XXX286/adv","","1000000.00","-2301620.76","7","0"
"193","S935033","23/04/2026","","INF/INFT/044164639631/Self-XXX286/adv","","1000000.00","-1301620.76","7","0"
"194","S935053","23/04/2026","","INF/INFT/044164639781/Self-XXX286/adv","","1000000.00","-301620.76","7","0"
"195","S2378596","24/04/2026","","MMT/IMPS/611418021405/npac/MundadaCor/CIUB0000182","97500.00","","-399120.76","7","0"
"196","S6003927","29/04/2026","","MMT/IMPS/611914717711/sk/ASHISHVISA/SBIN0012239","250000.00","","-649120.76","7","0"
"197","S8880284","02/05/2026","","187005002256:Int.Coll:02-04-2026to 01-05-2026","11213.00","","-660333.76","8","0"
"198","S1000280","04/05/2026","","MMT/IMPS/612412211517/adv/muktasales/HDFC0004885","30051.00","","-690384.76","8","0"
"199","S1185698","04/05/2026","","MMT/IMPS/612415661385/emi/DipakPatil/HDFC0000486","75280.00","","-765664.76","8","0"
"200","S1186276","04/05/2026","","MMT/IMPS/612415664580/emi/DipakPatil/HDFC0000486","28477.00","","-794141.76","8","0"
"201","S3700107","06/05/2026","","MMT/IMPS/612613992325/nillglassfilm/Chhayahome/HDF","11000.00","","-805141.76","8","0"
"202","S3743043","06/05/2026","","MMT/IMPS/612613091140/adv/ASHISHVISA/SBIN0012239","200000.00","","-1005141.76","8","0"
"203","S3745498","06/05/2026","","MMT/IMPS/612613097895/advsanket/VaishaliIn/SBIN001","150000.00","","-1155141.76","8","0"
"204","S3931608","06/05/2026","","RTGS/ICICR42026050600554509/PUNB0484300/MS ARC","1000000.00","","-2155141.76","8","0"
"205","S3936887","06/05/2026","","RTGS/ICICR42026050600555165/PUNB0484300/MS ARC","322964.00","","-2478105.76","8","0"
"206","S3942528","06/05/2026","","RTGS/ICICR42026050600555922/BARB0DBADGA/SHREEMAH","782457.00","","-3260562.76","9","0"
"207","S3949778","06/05/2026","","INF/INFT/044310437701/materialNamokat/OrianaEnergi","103211.00","","-3363773.76","9","0"
"208","S4710947","07/05/2026","","INF/INFT/044319259371/Self-XXX286/adv","","1000000.00","-2363773.76","9","0"
"209","S4711517","07/05/2026","","INF/INFT/044319279921/Self-XXX286/adv","","1000000.00","-1363773.76","9","0"
"210","S4712022","07/05/2026","","INF/INFT/044319290461/Self-XXX286/adv","","1000000.00","-363773.76","9","0"
"211","S7574268","10/05/2026","","MMT/IMPS/613010717637/adv/AnilSavlir/SBIN0011677","100000.00","","-463773.76","9","0"
"212","S7828445","10/05/2026","","MMT/IMPS/613019453188/adv/RajeshUtta/BARB0DBGNGA","100000.00","","-563773.76","9","0"
"213","S7828790","10/05/2026","","MMT/IMPS/613019454136/RajeshUttamraoT/BARB0DBGNGA","100000.00","","-663773.76","9","0"
"214","S7829739","10/05/2026","","INF/INFT/044368933371/Self-XXX286","","500000.00","-163773.76","9","0"
"215","S3418438","16/05/2026","","MMT/IMPS/613613313752/adv/AnilSavlir/SBIN0011677","50000.00","","-213773.76","10","0"
"216","S3419287","16/05/2026","","MMT/IMPS/613613316997/adv/YogeshHald/INDB0002311","100000.00","","-313773.76","10","0"
"217","S3419690","16/05/2026","","MMT/IMPS/613613317592/adv/YogeshHald/INDB0002311","100000.00","","-413773.76","10","0"
"218","S3760956","16/05/2026","","INF/INFT/044453091921/Self-XXX286/adv","","500000.00","86226.24","10","0"
"219","S5553380","19/05/2026","","MMT/IMPS/613912995345/adv/muktasales/HDFC0004885","20567.00","","65659.24","10","0"
"220","S8413903","22/05/2026","","RTGS/ICICR42026052200544737/UBIN0534595/AMIT INFR","1000000.00","","-934340.76","10","0"
"221","S8414457","22/05/2026","","RTGS/ICICR42026052200544909/UBIN0534595/AMIT INFR","1000000.00","","-1934340.76","10","0"
"222","S8470477","22/05/2026","","MMT/IMPS/614216845203/forcreditcard/RohanVinay/IDF","260285.00","","-2194625.76","10","0"
"223","S9498658","24/05/2026","","MMT/IMPS/614407116953/advreturnnandur/AmitInfras/U","274000.00","","-2468625.76","10","0"
"224","S3044916","28/05/2026","","INF/INFT/044561743741/Self-XXX286/adv","","1000000.00","-1468625.76","11","0"
"225","S3046081","28/05/2026","","INF/INFT/044561764501/Self-XXX286","","500000.00","-968625.76","11","0"
"226","S3769397","29/05/2026","","RTGS/ICICR42026052900516169/HDFC0002541/CIDCOELE","900543.00","","-1869168.76","11","0"
"227","S3770389","29/05/2026","","MMT/IMPS/614911774661/advc/CidcoElect/HDFC0002541","100000.00","","-1969168.76","11","0"
"228","S5951909","31/05/2026","","MMT/IMPS/615119541146/adv/AnilSavlir/SBIN0011677","30000.00","","-1999168.76","11","0"
"229","S6758748","01/06/2026","","MMT/IMPS/615214206406/advforemi/DipakPatil/HDFC000","75280.00","","-2074448.76","11","0"
"230","S6759611","01/06/2026","","MMT/IMPS/615214207578/advforemi/DipakPatil/HDFC000","28477.00","","-2102925.76","11","0"
"231","S7404418","02/06/2026","","RTGS-HDFCR52026060165510081-PUNAJCORP-99997777777","","350000.00","-1752925.76","11","0"
"232","S7462427","02/06/2026","","187005002256:Int.Coll:02-05-2026to 01-06-2026","7363.00","","-1760288.76","12","0"
"233","S2343460","06/06/2026","","RTGS-HDFCR52026060567384961-PUNAJCORP-99997777777","","330000.00","-1430288.76","12","0"
"234","S2344671","06/06/2026","","RTGS-HDFCR52026060667434702-PUNAJCORP-99997777777","","1000000.00","-430288.76","12","0"
"235","S6516905","10/06/2026","","MMT/IMPS/616109175144/I10car/VipinArvin/SBIN001169","350000.00","","-780288.76","12","0"
"236","S6715976","10/06/2026","","INF/INFT/044732368881/Self-XXX286/adv","500000.00","","-1280288.76","12","0"
"237","S7814472","11/06/2026","","MMT/IMPS/616213872088/advc/MangalElec/TJSB0000045","452464.00","","-1732752.76","12","0"
"238","S8178471","11/06/2026","","MMT/IMPS/616232340029/IMPStransactio/PUNAJCORP/H","","450000.00","-1282752.76","12","0"
"239","S8602617","12/06/2026","","MMT/IMPS/616310342485/adv/YogeshHald/INDB0002311","100000.00","","-1382752.76","12","0"
"240","S8603123","12/06/2026","","MMT/IMPS/616310345930/adv/YogeshHald/INDB0002311","100000.00","","-1482752.76","13","0"
"241","S8981284","12/06/2026","","MMT/IMPS/616316304864/adv/MSFOREVERM/BKID0000091","100000.00","","-1582752.76","13","0"
"242","S8984807","12/06/2026","","RTGS-HDFCR52026061270165613-PUNAJCORP-99997777777","","4500000.00","2917247.24","13","0"
"243","S8988296","12/06/2026","","RTGS/ICICR42026061200557125/BKID0000091/MSFOREVE","900000.00","","2017247.24","13","0"
"244","S8989136","12/06/2026","","INF/NEFT/IN42616350059315/BKID0000091/MSFOREVERMEP","1000000.00","","1017247.24","13","0"
"245","S8990725","12/06/2026","","RTGS/ICICR42026061200557372/BKID0000091/MSFOREVE","1000000.00","","17247.24","13","0"
"246","S8993201","12/06/2026","","RTGS/ICICR42026061200557648/BKID0000091/MSFOREVE","1000000.00","","-982752.76","13","0"
"247","S8994798","12/06/2026","","INF/NEFT/IN42616350064822/BKID0000091/advc","1000000.00","","-1982752.76","13","0"
"248","S8996954","12/06/2026","","INF/NEFT/IN42616350067179/BKID0000091/advc","1000000.00","","-2982752.76","14","0"
"249","S1007518","15/06/2026","","RTGS/ICICR42026061500548470/NMCB0000027/BHANUDAS","1000000.00","","-3982752.76","14","0"
"250","S1992540","16/06/2026","","MMT/IMPS/616714645013/advc/shreemElec/TJSB0000045","270000.00","","-4252752.76","14","0"
"251","S2029084","16/06/2026","","MMT/IMPS/616715750287/advnill/muktasales/HDFC00048","28967.00","","-4281719.76","14","0"
"252","S2624327","17/06/2026","","RTGS-HDFCR52026061771742288-PUNAJCORP-99997777777","","4500000.00","218280.24","14","0"
