"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"02/09/2024","02/09/2024","","5698","-142292801.04","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P001 / MALKHAN","3","1"
"02/09/2024","02/09/2024","","17994","-142310795.04","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P004 / AMAR BAHADUR SINGH","3","1"
"02/09/2024","02/09/2024","","24894","-142335689.04","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P003 / HARI MANGAL SINGH","3","1"
"02/09/2024","02/09/2024","","21694","-142357383.04","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P002 / MAA SARDA ROAD LINES","3","1"
"02/09/2024","02/09/2024","192801.34","","-142164581.7","NO BOOK DEPOSIT TRANSFER NEFT/HDFC/N246243241032190 /ULTRATECH CE/","3","1"
"02/09/2024","02/09/2024","737100","","-141427481.7","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520240902893 31612/SATNA U//","3","1"
"02/09/2024","02/09/2024","45396","","-141382085.7","NO BOOK DEPOSIT TRANSFER NEFT/ICIC/CMS4459648739 /PRISM JOHNSO/","3","1"
"03/09/2024","03/09/2024","","405234","-141787319.7","WITHDRAWAL TRANSFER loan GOEL CARGO PVT. LTD.","3","1"
"03/09/2024","03/09/2024","","800029.21","-142587348.91","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24247454549 /BPCL ECMS / Txn Amt. 800000.00 Charges. 29.21","3","1"
"03/09/2024","03/09/2024","","21128.61","-142608477.52","WITHDRAWAL TRANSFER NEFT/BARB/IDIBH24247454601 /SA FIELD MAR/ Txn Amt. 21123.00 Charges. 5.61","4","1"
"03/09/2024","03/09/2024","","100005.61","-142708483.13","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247454572 /Vindhya moto/ Txn Amt. 100000.00 Charges. 5.61","4","1"
"03/09/2024","03/09/2024","","500029.21","-143208512.34","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24247454602 /INDIAN OIL C/ Txn Amt. 500000.00 Charges. 29.21","4","1"
"03/09/2024","03/09/2024","","300028.91","-143508541.25","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520240903408968 40/ECT POOL/. Txn Amt. 300000.00 Charges. 28.91","4","1"
"03/09/2024","03/09/2024","","250028.91","-143758570.16","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52024090340897 007/SAINATH /ONLINE B Txn Amt. 250000.00 Charges. 28.91","4","1"
"03/09/2024","03/09/2024","800009.28","","-142958560.88","NO BOOK DEPOSIT TRANSFER RTGS/UTIB/UTIBR72024090300174 222/ULTRATEC/","4","1"
"03/09/2024","03/09/2024","154","","-142958406.88","NO BOOK DEPOSIT TRANSFER /IMPS/P2A/424716511997/ /KKBKTransfer/DIDAR SI","4","1"
"03/09/2024","03/09/2024","17000","","-142941406.88","NO BOOK DEPOSIT TRANSFER /IMPS/P2A/424716513270/ /KKBKTransfer/DIDAR SI","4","1"
"03/09/2024","03/09/2024","","5002.66","-142946409.54","WITHDRAWAL TRANSFER NEFT/BDBL/IDIBH24247169052 /MOHHAMAD SAD/ Txn Amt. 5000.00 Charges. 2.66","4","1"
"03/09/2024","03/09/2024","","4608.66","-142951018.2","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247169401 /ANIL KUSHWAH/ Txn Amt. 4606.00 Charges. 2.66","4","1"
"03/09/2024","03/09/2024","","7602.66","-142958620.86","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247169403 /NEW SON ENGI/ Txn Amt. 7600.00 Charges. 2.66","4","1"
"03/09/2024","03/09/2024","","17999.61","-142976620.47","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247172164 /MADAN SINGH / Txn Amt. 17994.00 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","17160","-142993780.47","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247172205 /ABHILASH KUM/ Txn Amt. 17154.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","13187","-143006967.47","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24247173080 /SHANKAR PRAS/ Txn Amt. 13181.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","27575","-143034542.47","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24247173071 /AHIWARAN SAH/ Txn Amt. 27569.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","19535","-143054077.47","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24247173082 /SESHMANI SAH/ Txn Amt. 19529.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","28261","-143082338.47","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24247173083 /RAVI SINGH P/ Txn Amt. 28255.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","8331","-143090669.47","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24247173084 /ASHTOSH SAHU/ Txn Amt. 8328.34 Charges. 2.66","5","1"
"03/09/2024","03/09/2024","","29455","-143120124.47","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24247173056 /SHIV DAYAL S/ Txn Amt. 29449.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","14403","-143134527.47","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24247173057 /MAHESH SAHU / Txn Amt. 14397.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","21557","-143156084.47","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24247173074 /MRATUNJAY PA/ Txn Amt. 21551.39 Charges. 5.61","5","1"
"03/09/2024","03/09/2024","","71959","-143228043.47","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24247173085 /ABHISHEK SIN/ Txn Amt. 71953.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","500029.21","-143728072.68","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248244873 /LAKSHMI CHAN/ Txn Amt. 500000.00 Charges. 29.21","6","1"
"04/09/2024","04/09/2024","","500029.21","-144228101.89","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248244893 /INDIAN OIL C/ Txn Amt. 500000.00 Charges. 29.21","6","1"
"04/09/2024","04/09/2024","","21136","-144249237.89","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24248270311 /AYODHA PRASA/ Txn Amt. 21130.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","20332","-144269569.89","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24248270342 /MAHESH SAHU / Txn Amt. 20326.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","28328","-144297897.89","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24248270343 /CHANDRABHAN / Txn Amt. 28322.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","26414","-144324311.89","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248270363 /SURAJBALI YA/ Txn Amt. 26408.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","40446","-144364757.89","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248270348 /SIDDHGOPAL S/ Txn Amt. 40440.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","14267","-144379024.89","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24248270338 /SANTOSH KUMA/ Txn Amt. 14261.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","21273","-144400297.89","WITHDRAWAL TRANSFER NEFT/IBKL/IDIBH24248270365 /KRISHNAKISHO/ Txn Amt. 21267.39 Charges. 5.61","6","1"
"04/09/2024","04/09/2024","","18586","-144418883.89","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24248270366 /UMESH SINGH / Txn Amt. 18580.39 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","40782","-144459665.89","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24248270351 /KANHIYA LAL / Txn Amt. 40776.39 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","29218","-144488883.89","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248270369 /AJAY SINGH / Txn Amt. 29212.39 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","57555.61","-144546439.5","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272839 /HDFC BANK LI/ Txn Amt. 57550.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","57555.61","-144603995.11","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272943 /HDFC BANK LI/ Txn Amt. 57550.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","57555.61","-144661550.72","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272944 /HDFC BANK LI/ Txn Amt. 57550.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","57555.61","-144719106.33","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272957 /HDFC BANK LI/ Txn Amt. 57550.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","63502.61","-144782608.94","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272958 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","63502.61","-144846111.55","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248272959 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","63502.61","-144909614.16","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248273002 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","7","1"
"04/09/2024","04/09/2024","","63502.61","-144973116.77","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248273023 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","63502.61","-145036619.38","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248273024 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","63502.61","-145100121.99","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248273013 /HDFC BANK LI/ Txn Amt. 63497.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","21267.39","","-145078854.6","NO BOOK DEPOSIT TRANSFER IDIBH24248270365 KRISHNAKIS ACCOUNT DOES NOT E","8","1"
"04/09/2024","04/09/2024","","82795.61","-145161650.21","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277244 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","82795.61","-145244445.82","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277294 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","82795.61","-145327241.43","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277353 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","82795.61","-145410037.04","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277354 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","82795.61","-145492832.65","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277388 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","82795.61","-145575628.26","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277452 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","8","1"
"04/09/2024","04/09/2024","","7157.66","-145582785.92","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277462 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145589943.58","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277455 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145597101.24","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277464 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145604258.9","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277481 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145611416.56","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277487 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145618574.22","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277503 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145625731.88","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277488 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145632889.54","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277505 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","7157.66","-145640047.2","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277489 /GOEL CARGO P/ Txn Amt. 7155.00 Charges. 2.66","9","1"
"04/09/2024","04/09/2024","","82795.61","-145722842.81","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248277507 /GOEL CARGO P/ Txn Amt. 82790.00 Charges. 5.61","9","1"
"04/09/2024","04/09/2024","","79268.61","-145802111.42","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281814 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","11214.61","-145813326.03","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281840 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-145892594.64","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281825 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-145971863.25","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281798 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146051131.86","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281826 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146130400.47","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281860 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146209669.08","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281861 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146288937.69","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281844 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146368206.3","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281827 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","79268.61","-146447474.91","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281850 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","10","1"
"04/09/2024","04/09/2024","","11214.61","-146458689.52","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281851 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146469904.13","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281834 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146481118.74","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281854 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146492333.35","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281859 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146503547.96","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281881 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146514762.57","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281837 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146525977.18","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281838 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146537191.79","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281900 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","11214.61","-146548406.4","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281901 /GOEL CARGO P/ Txn Amt. 11209.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","79268.61","-146627675.01","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24248281877 /GOEL CARGO P/ Txn Amt. 79263.00 Charges. 5.61","11","1"
"04/09/2024","04/09/2024","","76327.61","-146704002.62","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288105 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","12","1"
"04/09/2024","04/09/2024","","76327.61","-146780330.23","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288131 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","12","1"
"04/09/2024","04/09/2024","","76327.61","-146856657.84","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288113 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","12","1"
"04/09/2024","04/09/2024","","76327.61","-146932985.45","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288137 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","12","1"
"04/09/2024","04/09/2024","","76327.61","-147009313.06","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288140 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","12","1"
"04/09/2024","04/09/2024","","8036.66","-147017349.72","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288114 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","12","1"
"04/09/2024","04/09/2024","","8036.66","-147025386.38","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288144 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","12","1"
"04/09/2024","04/09/2024","","8036.66","-147033423.04","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288165 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","12","1"
"04/09/2024","04/09/2024","","8036.66","-147041459.7","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288150 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","12","1"
"04/09/2024","04/09/2024","","8036.66","-147049496.36","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288167 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","12","1"
"04/09/2024","04/09/2024","","8036.66","-147057533.02","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288182 /GOEL CARGO P/ Txn Amt. 8034.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","76327.61","-147133860.63","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248288185 /GOEL CARGO P/ Txn Amt. 76322.00 Charges. 5.61","13","1"
"04/09/2024","04/09/2024","","4338.66","-147138199.29","WITHDRAWAL TRANSFER NEFT/BDBL/IDIBH24248322257 /LALLAN YADAV/ Txn Amt. 4336.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","24999.61","-147163198.9","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248322344 /SURENDRA YA/ Txn Amt. 24994.00 Charges. 5.61","13","1"
"04/09/2024","04/09/2024","","4650.66","-147167849.56","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24248322345 /RAMDAS SINGH/ Txn Amt. 4648.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","3850.66","-147171700.22","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24248322319 /NIRPAT SINGH/ Txn Amt. 3848.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","10999.61","-147182699.83","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24248322346 /RAMLAKHAN PA/ Txn Amt. 10994.00 Charges. 5.61","13","1"
"04/09/2024","04/09/2024","","5300.66","-147188000.49","WITHDRAWAL TRANSFER NEFT/BKID/IDIBH24248322380 /MOHAMMAD ABI/ Txn Amt. 5298.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","5950.66","-147193951.15","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24248322348 /SHRIBHAN GUP/ Txn Amt. 5948.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","9150.66","-147203101.81","WITHDRAWAL TRANSFER NEFT/UCBA/IDIBH24248322361 /AFSAR KHAN / Txn Amt. 9148.00 Charges. 2.66","13","1"
"04/09/2024","04/09/2024","","4890.66","-147207992.47","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24248322362 /AWADHES YADA/ Txn Amt. 4888.00 Charges. 2.66","14","1"
"04/09/2024","04/09/2024","","4200.66","-147212193.13","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24248322363 /PATRAM KUSHW/ Txn Amt. 4198.00 Charges. 2.66","14","1"
"04/09/2024","04/09/2024","","14619.61","-147226812.74","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24248322364 /SHATRUGHAN P/ Txn Amt. 14614.00 Charges. 5.61","14","1"
"04/09/2024","04/09/2024","","5521","-147232333.74","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P001 / VIRENDRA","14","1"
"04/09/2024","04/09/2024","","7048","-147239381.74","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P003 / RAMKISUN .","14","1"
"04/09/2024","04/09/2024","","16994","-147256375.74","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P002 / MAA SARDA ROAD LINES","14","1"
"04/09/2024","04/09/2024","192398.58","","-147063977.16","NO BOOK DEPOSIT TRANSFER NEFT/HDFC/N248243246252983 /ULTRATECH CE/","14","1"
"05/09/2024","05/09/2024","","10002.66","-147073979.82","WITHDRAWAL TRANSFER NEFT/CBIN/IDIBH24249431244 /BIHARI SINGH/ Txn Amt. 10000.00 Charges. 2.66","14","1"
