"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"11/04/2026","11/04/2026","","13290","-108102454.63","WITHDRAWAL TRANSFER / BRANCH-P003 / DHANENDRA SINGH TIWARI","5","1"
"11/04/2026","11/04/2026","","7900","-108110354.63","WITHDRAWAL TRANSFER / BRANCH-P004 / NARENDRA KUMAR","5","1"
"11/04/2026","11/04/2026","","7900","-108118254.63","WITHDRAWAL TRANSFER / BRANCH-P006 / DHOOP","5","1"
"11/04/2026","11/04/2026","","7100","-108125354.63","WITHDRAWAL TRANSFER / BRANCH-P007 / JAGAT NARAYAN","5","1"
"11/04/2026","11/04/2026","","7100","-108132454.63","WITHDRAWAL TRANSFER / BRANCH-P008 / GURU PRASAD PANDEY","5","1"
"11/04/2026","11/04/2026","","7600","-108140054.63","WITHDRAWAL TRANSFER / BRANCH-P009 / MATHURA PRASAD","5","1"
"11/04/2026","11/04/2026","","9898","-108149952.63","WITHDRAWAL TRANSFER / BRANCH-P011 / Akhtar Hussain","5","1"
"11/04/2026","11/04/2026","","16360","-108166312.63","WITHDRAWAL TRANSFER / BRANCH-P012 / Mr. DIWAKAR NATH GOSWAMI","5","1"
"11/04/2026","11/04/2026","","15600","-108181912.63","WITHDRAWAL TRANSFER / BRANCH-P013 / SHRINIWAS MISHRA","5","1"
"11/04/2026","11/04/2026","","16027","-108197939.63","WITHDRAWAL TRANSFER / BRANCH-P014 / OMPRAKASH GUPTA","5","1"
"11/04/2026","11/04/2026","","8280","-108206219.63","WITHDRAWAL TRANSFER / BRANCH-P015 / MANISH","5","1"
"11/04/2026","11/04/2026","","11734","-108217953.63","WITHDRAWAL TRANSFER / BRANCH-P016 / PANKAJ KUMAR","6","1"
"11/04/2026","11/04/2026","","10420","-108228373.63","WITHDRAWAL TRANSFER / BRANCH-P017 / KAUSHAL KISHOR","6","1"
"11/04/2026","11/04/2026","","12600","-108240973.63","WITHDRAWAL TRANSFER / BRANCH-P018 / RAJENDRA PRASAD AGRAWAL","6","1"
"11/04/2026","11/04/2026","","8123","-108249096.63","WITHDRAWAL TRANSFER / BRANCH-P019 / BRIJENDRA GUPTA","6","1"
"11/04/2026","11/04/2026","","8600","-108257696.63","WITHDRAWAL TRANSFER / BRANCH-P020 / RAJESH KUMAR TAMRAKAR","6","1"
"11/04/2026","11/04/2026","","14664","-108272360.63","WITHDRAWAL TRANSFER / BRANCH-P021 / SAURABH","6","1"
"11/04/2026","11/04/2026","","5987","-108278347.63","WITHDRAWAL TRANSFER / BRANCH-P023 / JITENDR","6","1"
"11/04/2026","11/04/2026","","12500","-108290847.63","WITHDRAWAL TRANSFER / BRANCH-P024 / Mo.","6","1"
"11/04/2026","11/04/2026","","7754","-108298601.63","WITHDRAWAL TRANSFER / BRANCH-P025 / ARVIND KUMAR","6","1"
"11/04/2026","11/04/2026","","12000","-108310601.63","WITHDRAWAL TRANSFER / BRANCH-P026 / POONAM DWIVEDI AND SANTOSH DWIVEDI","6","1"
"11/04/2026","11/04/2026","","15000","-108325601.63","WITHDRAWAL TRANSFER / BRANCH-P027 / Ravi Saket","6","1"
"11/04/2026","11/04/2026","","13032","-108338633.63","WITHDRAWAL TRANSFER / BRANCH-P028 / Suraj Kori","6","1"
"11/04/2026","11/04/2026","","5612","-108344245.63","WITHDRAWAL TRANSFER / BRANCH-P029 / Abhay Saket","6","1"
"11/04/2026","11/04/2026","","6548","-108350793.63","WITHDRAWAL TRANSFER / BRANCH-P030 / Ankit Saket","6","1"
"11/04/2026","11/04/2026","","15000","-108365793.63","WITHDRAWAL TRANSFER / BRANCH-P031 / RAJESH","6","1"
"11/04/2026","11/04/2026","","9914","-108375707.63","WITHDRAWAL TRANSFER / BRANCH-P002 / VIJAY KUMAR","6","1"
"11/04/2026","11/04/2026","","38003","-108413710.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/ICIC/IDIBN520260411379047 71/MRATUNJA/ Txn Amt. 37997.39 Charges. 5.61","7","1"
"11/04/2026","11/04/2026","","45712","-108459422.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P012 / NEFT/ICIC/IDIBN520260411379045 10/SHANKAR / Txn Amt. 45706.39 Charges. 5.61","7","1"
"11/04/2026","11/04/2026","","23615","-108483037.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P013 / NEFT/UBIN/IDIBN520260411379047 80/RADHE SA/ Txn Amt. 23609.39 Charges. 5.61","7","1"
"11/04/2026","11/04/2026","","20068","-108503105.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P014 / NEFT/SBIN/IDIBN520260411379045 14/PRABHAKA/ Txn Amt. 20062.39 Charges. 5.61","7","1"
"11/04/2026","11/04/2026","","10000","-108513105.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P019 / NEFT/CBIN/IDIBN520260411379034 02/BIHARI S/ Txn Amt. 9997.34 Charges. 2.66","7","1"
"11/04/2026","11/04/2026","","17417","-108530522.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P016 / NEFT/UBIN/IDIBN520260411379034 04/AHIWARAN/ Txn Amt. 17411.39 Charges. 5.61","7","1"
"11/04/2026","11/04/2026","","10000","-108540522.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P017 / NEFT/SBIN/IDIBN520260411379045 15/ABDUL KA/ Txn Amt. 9997.34 Charges. 2.66","8","1"
"11/04/2026","11/04/2026","","15000","-108555522.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P018 / NEFT/PUNB/IDIBN52026041137903 405/SUNEET S/ Txn Amt. 14994.39 Charges. 5.61","8","1"
"11/04/2026","11/04/2026","","27993","-108583515.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P015 / NEFT/SBIN/IDIBN520260411379047 83/RAMMANI / Txn Amt. 27987.39 Charges. 5.61","8","1"
"13/04/2026","13/04/2026","","500028.91","-109083544.54","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260413015989 54/HPCL Dri/. Txn Amt. 500000.00 Charges. 28.91","8","1"
"13/04/2026","13/04/2026","","600058.41","-109683602.95","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026041301599 046/BPCL CAR/. Txn Amt. 600000.00 Charges. 58.41","8","1"
"13/04/2026","13/04/2026","","300000","-109983602.95","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: M P TYRES PVT LChqNo:322181","8","1"
"13/04/2026","13/04/2026","","2500000","-112483602.95","C.A.S. CASH CHEQUE Paid to SELF/DWARIKA Branch-UMARI (M.P.)","8","1"
"13/04/2026","13/04/2026","6132656.04","","-106350946.91","NO BOOK DEPOSIT TRANSFER RTGS/SBIN/SBINR12026041324109 565/26240034/","8","1"
"13/04/2026","13/04/2026","978011","","-105372935.91","NO BOOK DEPOSIT TRANSFER NEFT/ICIC/ICICN220260413173703 49/ICICI LOMB/","8","1"
"13/04/2026","13/04/2026","1898531.3","","-103474404.61","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62026041332953 639/J K CEMENT/","9","1"
"14/04/2026","14/04/2026","","1600000","-105074404.61","WITHDRAWAL TRANSFER emi GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","9","1"
"14/04/2026","14/04/2026","","500029.21","-105574433.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P032 / NEFT/ICIC/IDIBN520260414381527 33/ETC POOL/ Txn Amt. 500000.00 Charges. 29.21","9","1"
"14/04/2026","14/04/2026","","569970.79","-106144404.61","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P098 / NEFT/HDFC/IDIBN52026041438152 735/TYRE CEN/ Txn Amt. 569941.58 Charges. 29.21","9","1"
"14/04/2026","14/04/2026","","500029.21","-106644433.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260414381522 61/HPCL / Txn Amt. 500000.00 Charges. 29.21","9","1"
"14/04/2026","14/04/2026","","8252.66","-106652686.48","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P459 / NEFT/UBIN/IDIBN520260414381527 36/NEW SON / Txn Amt. 8250.00 Charges. 2.66","9","1"
"14/04/2026","14/04/2026","","99514.61","-106752201.09","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P416 / NEFT/HDFC/IDIBN52026041438152 526/KESHARWA/ Txn Amt. 99509.00 Charges. 5.61","9","1"
"14/04/2026","14/04/2026","","28980.61","-106781181.7","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P417 / NEFT/HDFC/IDIBN52026041438152 737/KESHARWA/ Txn Amt. 28975.00 Charges. 5.61","10","1"
"14/04/2026","14/04/2026","","130980","-106912161.7","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P311 / NEFT/ICIC/IDIBN520260414381525 27/JEET DIE/ Txn Amt. 130962.59 Charges. 17.41","10","1"
"14/04/2026","14/04/2026","6611043.4","","-100301118.3","NO BOOK DEPOSIT TRANSFER RTGS/ICIC/ICICR220260414156747 69/PRISM JO/","10","1"
"14/04/2026","14/04/2026","","79461","-100380579.3","WITHDRAWAL TRANSFER /EPF Payment/2604292073484/01914042 6991838 EMPLOYEES PROVIDENT FUND ORGANISATION","10","1"
"14/04/2026","14/04/2026","","31292","-100411871.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/HDFC/IDIBN52026041438178 709/ASHOK KU/ Txn Amt. 31286.39 Charges. 5.61","10","1"
"14/04/2026","14/04/2026","","22219","-100434090.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P012 / NEFT/PUNB/IDIBN52026041438178 713/ABHISHEK/ Txn Amt. 22213.39 Charges. 5.61","10","1"
"14/04/2026","14/04/2026","","13402","-100447492.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P013 / NEFT/ICIC/IDIBN520260414381787 19/RAVI PRA/ Txn Amt. 13396.39 Charges. 5.61","10","1"
"14/04/2026","14/04/2026","","10825","-100458317.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P014 / NEFT/PUNB/IDIBN52026041438178 887/CHANDRAB/ Txn Amt. 10819.39 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","28663","-100486980.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P015 / NEFT/SBIN/IDIBN520260414381787 20/BABAN SA/ Txn Amt. 28657.39 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","13805.61","-100500785.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P809 / NEFT/SBIN/IDIBN520260414381787 25/UNIVERSA/ Txn Amt. 13800.00 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","83218","-100584003.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P017 / NEFT/ICIC/IDIBN520260414381788 95/MRATUNJA/ Txn Amt. 83212.39 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","33795","-100617798.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P018 / NEFT/SBIN/IDIBN520260414381788 96/RAMMANI / Txn Amt. 33789.39 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","17452","-100635250.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P019 / NEFT/UTIB/IDIBN520260414381787 31/NASEEM K/ Txn Amt. 17446.39 Charges. 5.61","11","1"
"14/04/2026","14/04/2026","","28525","-100663775.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P020 / NEFT/SBIN/IDIBN520260414381788 97/DHANANJA/ Txn Amt. 28519.39 Charges. 5.61","12","1"
"14/04/2026","14/04/2026","","11610","-100675385.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P021 / NEFT/ICIC/IDIBN520260414381788 98/SHANKAR / Txn Amt. 11604.39 Charges. 5.61","12","1"
"14/04/2026","14/04/2026","","50900","-100726285.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P016 / NEFT/UTIB/IDIBN520260414381784 91/SURAJBAL/ Txn Amt. 50894.39 Charges. 5.61","12","1"
"15/04/2026","15/04/2026","","500028.91","-101226314.82","WITHDRAWAL TRANSFER RTGS/SBIN/IDIBR52026041501638 778/RAJENDRA/. Txn Amt. 500000.00 Charges. 28.91","12","1"
"15/04/2026","15/04/2026","","2000000","-103226314.82","C.A.S. CASH CHEQUE Paid to SELF Branch-UMARI (M.P.)","12","1"
"15/04/2026","15/04/2026","","29510","-103255824.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/SBIN/IDIBN520260415383083 82/RAMMANI / Txn Amt. 29504.39 Charges. 5.61","12","1"
"15/04/2026","15/04/2026","","31813","-103287637.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P012 / NEFT/ICIC/IDIBN520260415383084 51/SHIV DAY/ Txn Amt. 31807.39 Charges. 5.61","12","1"
"15/04/2026","15/04/2026","","28000","-103315637.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P015 / NEFT/SBIN/IDIBN520260415383084 01/KAILASH / Txn Amt. 27994.39 Charges. 5.61","13","1"
"15/04/2026","15/04/2026","","14029","-103329666.82","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P014 / NEFT/SBIN/IDIBN520260415383084 03/RAMNARAY/ Txn Amt. 14023.39 Charges. 5.61","13","1"
"15/04/2026","15/04/2026","","2300029.21","-105629696.03","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026041538311 649/INDIAN O/ Txn Amt. 2300000.00 Charges. 29.21","13","1"
"15/04/2026","15/04/2026","","70609.61","-105700305.64","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P592 / NEFT/SBIN/IDIBN520260415383122 19/BAGRI FU/ Txn Amt. 70604.00 Charges. 5.61","13","1"
"15/04/2026","15/04/2026","","37005.61","-105737311.25","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P420 / NEFT/YESB/IDIBN52026041538312 342/NIRMAL E/ Txn Amt. 37000.00 Charges. 5.61","13","1"
"15/04/2026","15/04/2026","","26128.61","-105763439.86","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P538 / NEFT/UBIN/IDIBN520260415383116 51/KULWANT / Txn Amt. 26123.00 Charges. 5.61","13","1"
"15/04/2026","15/04/2026","","1000029.21","-106763469.07","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260415383123 50/HPCL / Txn Amt. 1000000.00 Charges. 29.21","14","1"
"16/04/2026","16/04/2026","","500029.21","-107263498.28","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P021 / NEFT/HDFC/IDIBN52026041638372 365/BPCL ECM/ Txn Amt. 500000.00 Charges. 29.21","14","1"
"16/04/2026","16/04/2026","","600029.21","-107863527.49","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026041638372 378/INDIAN O/ Txn Amt. 600000.00 Charges. 29.21","14","1"
"16/04/2026","16/04/2026","","2500029.21","-110363556.7","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P580 / NEFT/SBIN/IDIBN520260416383712 34/GOEL CAR/ Txn Amt. 2500000.00 Charges. 29.21","14","1"
"16/04/2026","16/04/2026","","130997.41","-110494554.11","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P570 / NEFT/CNRB/IDIBN52026041638372 116/JEET ENG/ Txn Amt. 130980.00 Charges. 17.41","14","1"
"16/04/2026","16/04/2026","","700029.21","-111194583.32","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260416383712 36/HPCL / Txn Amt. 700000.00 Charges. 29.21","14","1"
"16/04/2026","16/04/2026","","15000000","-126194583.32","CAS SINGLE SIDED DEBIT THROUGH CHQ TRF","14","1"
"16/04/2026","16/04/2026","130962","","-126063621.32","NO BOOK DEPOSIT TRANSFER NEFT/ICIC/ICICN420260416580200 58/JEET DIESE/","15","1"
"17/04/2026","17/04/2026","","1163220","-127226841.32","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: ICICI LOMBARD GChqNo:322185","15","1"
"17/04/2026","17/04/2026","","214604","-127441445.32","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: ICICI LOMBARD GChqNo:322186","15","1"
"17/04/2026","17/04/2026","","53244","-127494689.32","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: ICICI LOMBARD GChqNo:322184","15","1"
"17/04/2026","17/04/2026","","1500000","-128994689.32","WITHDRAWAL TRANSFER Transfer 73644ShubhamGoyal Advance SHUBHAM GOYAL","15","1"
"17/04/2026","17/04/2026","","500029.21","-129494718.53","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P032 / NEFT/ICIC/IDIBN520260417385291 04/ETC POOL/ Txn Amt. 500000.00 Charges. 29.21","15","1"
"17/04/2026","17/04/2026","","27825.61","-129522544.14","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P460 / NEFT/UBIN/IDIBN520260417385287 97/ANIL KUS/ Txn Amt. 27820.00 Charges. 5.61","15","1"
"17/04/2026","17/04/2026","","300029.21","-129822573.35","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260417385287 99/HPCL / Txn Amt. 300000.00 Charges. 29.21","15","1"
"17/04/2026","17/04/2026","","700029.21","-130522602.56","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026041738529 115/INDIAN O/ Txn Amt. 700000.00 Charges. 29.21","15","1"
"17/04/2026","17/04/2026","","36005.61","-130558608.17","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P810 / NEFT/ICIC/IDIBN520260417386131 25/NAND ORI/ Txn Amt. 36000.00 Charges. 5.61","16","1"
"17/04/2026","17/04/2026","","38681.61","-130597289.78","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P001 / NEFT/BARB/IDIBN52026041738611 932/KAMDA SH/ Txn Amt. 38676.00 Charges. 5.61","16","1"
"17/04/2026","17/04/2026","15784718.71","","-114812571.07","NO BOOK DEPOSIT TRANSFER RTGS/ICIC/ICICR220260417157573 43/PRISM JO/","16","1"
"17/04/2026","17/04/2026","609189.18","","-114203381.89","NO BOOK DEPOSIT TRANSFER RTGS/UTIB/UTIBR72026041700008 409/ADANI LO/","16","1"
"17/04/2026","17/04/2026","2865.88","","-114200516.01","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62026041779453 005/ADANI LOGI/","16","1"
"18/04/2026","18/04/2026","","2300000","-116500516.01","WITHDRAWAL TRANSFER 51049 GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","16","1"
"18/04/2026","18/04/2026","","500029.21","-117000545.22","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P021 / NEFT/HDFC/IDIBN52026041838658 027/BPCL ECM/ Txn Amt. 500000.00 Charges. 29.21","16","1"
"18/04/2026","18/04/2026","","500029.21","-117500574.43","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P032 / NEFT/ICIC/IDIBN520260418386564 05/ETC POOL/ Txn Amt. 500000.00 Charges. 29.21","16","1"
"18/04/2026","18/04/2026","","400029.21","-117900603.64","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260418386564 07/HPCL / Txn Amt. 400000.00 Charges. 29.21","17","1"
"18/04/2026","18/04/2026","","6202.66","-117906806.3","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P072 / NEFT/SBIN/IDIBN520260418386564 08/RAJESH K/ Txn Amt. 6200.00 Charges. 2.66","17","1"
"18/04/2026","18/04/2026","","1500029.21","-119406835.51","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026041838658 292/INDIAN O/ Txn Amt. 1500000.00 Charges. 29.21","17","1"
"18/04/2026","18/04/2026","","2000058.41","-121406893.92","WITHDRAWAL TRANSFER RTGS/SBIN/IDIBR52026041801715 733/GOEL CAR/. Txn Amt. 2000000.00 Charges. 58.41","17","1"
"18/04/2026","18/04/2026","","5000029","-126406922.92","CAS REMITTANCE THROUGH CHEQUE RTGS/IDFB/IDIBR52026041801716 942/DIVYA TR/GOEL CAR Txn Amt. 5000000.00 Charges. 29.00","17","1"
"18/04/2026","18/04/2026","","14986","-126421908.92","WITHDRAWAL TRANSFER / ADVANCE PAYMENT-P001 / HARI MANGAL SINGH","17","1"
"18/04/2026","18/04/2026","","58530","-126480438.92","WITHDRAWAL TRANSFER / BRANCH-P032 / VIKRAM AUTOMOBILES","17","1"
"18/04/2026","18/04/2026","","20000","-126500438.92","WITHDRAWAL TRANSFER / BRANCH-P020 / Dheeraj Kumar","17","1"
"18/04/2026","18/04/2026","","9660","-126510098.92","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/UBIN/IDIBN520260418387070 38/SURAJ KU/ Txn Amt. 9657.34 Charges. 2.66","18","1"
